from	to	count	docs
dobutamina	urea	1	 32427645_ES
lopinavir	sulfato de magnesio	1	 32119083_ES
betametasona	ritonavir	1	 32352487_ES
insulina	potasio	1	 32635747_ES
arbidol	creatinina	1	 32119083_ES
esteroides	fentanilo	1	 32590725_ES
covid19	ganciclovir	1	 32607564_ES
covid19	vitaminas	1	 32363336-B_ES
metilprednisolona	potasio	1	32363336_ES
furosemida	hidroxicloroquina	2	32363336_ES, 32631645_ES
atorvastatina	azitromicina	1	 32426200_ES
covid19	moxifloxacina	1	 32292904_ES
ceftriaxona	ácido láctico	2	 32222713_ES, 32363336-B_ES
favipiravir	oxígeno	1	 32611659_ES
covid19	sulfato de hidroxicloroquina	1	 32414534_ES
anticoagulante	fentanilo	1	 32637327A_ES
ceftriaxona	tocilizumab	4	 32587121_ES, 32247642_ES, 32222713_ES, 32648092B_ES
aspirina	oxígeno	4	 32426200_ES, 32586778_ES, 32637266A_ES, 32427161_ES
cefotaxima	gentamicina	1	32594151_ES
ampicilina	piperacilina	1	32622819B_ES
dexametasona	oseltamivir	1	 32615807B_ES
furosemida	sodio	1	 32638890_ES
clavulanato	potasio	1	 32639064_ES
hbpm	heparina de bajo peso molecular	1	 32648092A_ES
cefepima	hidroxicloroquina	2	 32617223_ES, 32320556_ES
acetaminofén	oxígeno	1	 32198834_ES
potasio	ácido láctico	1	 32179908_ES
glucosa	nitrógeno	2	 32586752_ES, 32611659_ES
acetaminofeno	oxígeno	5	 32617169_ES, 32426200_ES, 32637086B_ES, 32588475_ES, 32607304_Es
cloruro	glucorraquia	1	32293714_ES
colquicina	ritonavir	1	 32584431_ES
colquicina	lopinavir	1	 32584431_ES
hidroxicloroquina	ácido acetilsalicílico	2	 32648092B_ES, 32584431_ES
piperacilina–tazobactam	vancomicina	2	 32617223_ES, 32222713_ES
midazolam	oxígeno	2	 32637327A_ES, 32620682_ES
ritonavir	ácido acetilsalicílico	1	 32584431_ES
covid19	ritonavir	6	 32602267_ES, 32292904_ES, 32587121_ES, 32247642_ES, 32428291_ES, 32607564_ES
fentanilo	heparina	1	 32590725_ES
esteroides	sodio	1	 32417987_ES
atorvastatina	ceftriaxona	1	 32426200_ES
oxígeno	paracetamol	2	 32587121_ES, 32636116_ES
lactato	sarscov2	1	 32427161_ES
dímero D	norepinefrina	3	 32637327A_ES, 32637437­_ES, 32589931_ES
meropenem	metilprednisolona	1	 32602267_ES
dexametasona	esteroides	1	32554811_ES
lactato	oxígeno	6	 32278585_ES, 32635747_ES, 32637327A_ES, 32612435_ES, 32363217_ES, 32427161_ES
O2	azitromicina	1	 32637086A_ES
acetaminofén	ceftriaxona	1	 32198834_ES
enoxaparina	nitrógeno	1	 32612435_ES
heparina	metilprednisolona	1	 32427774-B_ES
aspirina	heparina de bajo peso molecular	1	 32585767_ES
moxifloxacina	prednisolona	1	 32161941_ES
darunavir	linezolid	1	 32607564_ES
oxígeno	urea	1	 32427645_ES
dímero D	tocilizumab	6	 32615155_ES, 32402687_ES, 32586778_ES, 32637437­_ES, 32648092B_ES, 32427645_ES
hidroxicloroquina	levotiroxina	1	 32402687_ES
dímero D	ixekizumab	1	 32294258_ES
ganciclovir	oseltamivir	2	 32032497_ES,32168162_ES
ampicilina	sulbactam	1	 32425356_ES
albuterol	azitromicina	1	 32412848_ES
tacrólimus	venlafaxina	1	32586752_ES
norepinefrina	tocilizumab	2	32363336_ES, 32637437­_ES
dímero D	heparina	2	 32427774-B_ES, 32617903A_ES
inmunoglobulina	oxígeno	7	 32277408_ES, 32586958_ES, 32246917_ES, 32208010_ES, 32294340_ES, 32265235_ES, 32636116_ES
glucosa	hco3	1	 32292053_ES
furosemida	sulfato de magnesio	1	32363336_ES
carbono	ceftriaxona	1	 32607304_Es
darunavir	heparina	1	32399449_ES
ceftriaxona	prednisona	2	 32638347C_ES, 32198834_ES
metotrexato	oxígeno	1	 32638347C_ES
hbpm	hidroxicloroquina	5	 32399449-B_ES, 32648092A_ES, 32399449_ES, 32648092B_ES, 32648092C_ES
enoxaparina	tocilizumab	7	 32402687_ES, 32648092A_ES, 32587121_ES, 32612435_ES, 32648092B_ES, 32427645_ES, 32618794_ES
aspirina	hidroxicloroquina	4	 32593338_ES, 32426200_ES, 32586778_ES, 32637266A_ES
hco3	metilprednisolona	2	 32292053_ES,32363336_ES
hidroxicloroquina	meronepem	1	 32637086A_ES
clozapina	solución salina	1	32637266B_ES
aspirina	solución salina	1	 32637266A_ES
