span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
mujer	SEXO-SUJETO-ASISTENCIA	65	32.5	67	mujer	1086007, 224526002, 30996001, 248152002	C0043210, C0043210, C0086418, C0086287, C0086287	Mujer	mujer	32615807B_ES, 32612465A_ES, 32631770_ES, 32320556_ES, 32593478_ES, 32615807A_ES, 32402687_ES, 32637327A_ES, 32208010_ES, 32363336-B_ES, 32267483_ES, 32585767_ES, 32399950_ES, 32276139_ES, 32351657_ES, 32638347A_ES, 32161941_ES, 32605712_ES, 32638347C_ES, 32363336_ES, 3229222_ES, 32363351_ES, 32653960_ES, 32637437­_ES, 32399449_ES, 32246917_ES, 32614251_ES, 32637327B_ES, 32294340_ES, 32623310_ES, 32589314_ES, 32426200_ES, 32638347B_ES, 32282871_ES, 32584431_ES, 32294273_ES, 32399451_ES, 32232784_ES, 32631645_ES, 32602610_ES, 32245909_ES, 32553608­_A_ES, 32590725_ES, 32201125_ES, 32294264_ES, 32412848_ES, 32637266A_ES, 32292867_ES, 32425356_ES, 32282871_B_ES, 32282027_ES, 32294258_ES, 32360439-C_ES, 32165205_ES, 32276139_C_ES, 32238024_ES, 32360439-B_ES, 32588185_ES, 32267502_ES, 32427774-B_ES, 32360439-D_ES, 32617169_ES, 32359804_ES, 32653210_ES, 32631646_ES	32615807B_ES, 32612465A_ES, 32631770_ES, 32320556_ES, 32593478_ES, 32615807A_ES, 32402687_ES, 32637327A_ES, 32208010_ES, 32363336-B_ES, 32267483_ES, 32585767_ES, 32399950_ES, 32276139_ES, 32351657_ES, 32638347A_ES, 32161941_ES, 32605712_ES, 32638347C_ES, 32363336_ES, 3229222_ES, 32363351_ES, 32653960_ES, 32637437­_ES, 32399449_ES, 32246917_ES, 32614251_ES, 32637327B_ES, 32294340_ES, 32623310_ES, 32589314_ES, 32426200_ES, 32638347B_ES, 32282871_ES, 32584431_ES, 32294273_ES, 32399451_ES, 32232784_ES, 32631645_ES, 32602610_ES, 32245909_ES, 32553608­_A_ES, 32590725_ES, 32201125_ES, 32294264_ES, 32412848_ES, 32637266A_ES, 32292867_ES, 32425356_ES, 32282871_B_ES, 32282027_ES, 32294258_ES, 32360439-C_ES, 32165205_ES, 32276139_C_ES, 32238024_ES, 32360439-B_ES, 32588185_ES, 32267502_ES, 32427774-B_ES, 32360439-D_ES, 32617169_ES, 32359804_ES, 32653210_ES, 32631646_ES	32615807B_ES, 32612465A_ES, 32631770_ES, 32320556_ES, 32593478_ES, 32615807A_ES, 32402687_ES, 32637327A_ES, 32208010_ES, 32363336-B_ES, 32267483_ES, 32585767_ES, 32399950_ES, 32276139_ES, 32351657_ES, 32638347A_ES, 32161941_ES, 32605712_ES, 32638347C_ES, 32363336_ES, 3229222_ES, 32363351_ES, 32653960_ES, 32637437­_ES, 32399449_ES, 32246917_ES, 32614251_ES, 32637327B_ES, 32294340_ES, 32623310_ES, 32589314_ES, 32426200_ES, 32638347B_ES, 32282871_ES, 32584431_ES, 32294273_ES, 32399451_ES, 32232784_ES, 32631645_ES, 32602610_ES, 32245909_ES, 32553608­_A_ES, 32590725_ES, 32201125_ES, 32294264_ES, 32412848_ES, 32637266A_ES, 32292867_ES, 32425356_ES, 32282871_B_ES, 32282027_ES, 32294258_ES, 32360439-C_ES, 32165205_ES, 32276139_C_ES, 32238024_ES, 32360439-B_ES, 32588185_ES, 32267502_ES, 32427774-B_ES, 32360439-D_ES, 32617169_ES, 32359804_ES, 32653210_ES, 32631646_ES
niño	SEXO-SUJETO-ASISTENCIA	17	8.5	53	niño	67822003, 433152004	C0008059, C0870221	Niño	nino	32320556_ES, 32292053_ES, 32119083_ES, 32602267_ES, 32427645_ES, 32427161_ES, 32423738_ES, 32586676_ES, 32614251_ES, 32583150B_ES, 32594151_ES, 32590725_ES, 32606105_ES, 32583150A_ES, 32292054_ES, 32161941_ES, 32594429_ES	32320556_ES, 32292053_ES, 32119083_ES, 32602267_ES, 32427645_ES, 32427161_ES, 32423738_ES, 32586676_ES, 32614251_ES, 32583150B_ES, 32594151_ES, 32590725_ES, 32606105_ES, 32583150A_ES, 32292054_ES, 32161941_ES, 32594429_ES	32320556_ES, 32292053_ES, 32119083_ES, 32602267_ES, 32427645_ES, 32427161_ES, 32423738_ES, 32586676_ES, 32614251_ES, 32583150B_ES, 32594151_ES, 32590725_ES, 32606105_ES, 32583150A_ES, 32292054_ES, 32161941_ES, 32594429_ES
hombre	SEXO-SUJETO-ASISTENCIA	34	17.0	34	hombre	30996001, 339947000	C0025266, C0043210, C0086418	Hombre	hombre	32617903A_ES, 32588475_ES, 32293714_ES, 32428291_ES, 32606044_ES, 32637086A_ES, 32556106_ES, 32554423_ES, 32617903B_ES, 32650881_ES, 32329981_ES, 32622819B_ES, 32557532_ES, 32644205_ES, 32401344_ES, 32267140_ES, 32590204_ES, 32553608­B_ES, 32622819A_ES, 32282871_ES, 32639089_ES, 32589794_ES, 32353183-B_ES, 32276139_B_ES, 32601756_ES, 32612465C_ES, 32587121_ES, 32402687-B_ES, 32292915_ES, 32607304_Es, 32612465B_ES, 32586958_ES, 32427774_ES, 32622483_ES	32617903A_ES, 32588475_ES, 32293714_ES, 32428291_ES, 32606044_ES, 32637086A_ES, 32556106_ES, 32554423_ES, 32617903B_ES, 32650881_ES, 32329981_ES, 32622819B_ES, 32557532_ES, 32644205_ES, 32401344_ES, 32267140_ES, 32590204_ES, 32553608­B_ES, 32622819A_ES, 32282871_ES, 32639089_ES, 32589794_ES, 32353183-B_ES, 32276139_B_ES, 32601756_ES, 32612465C_ES, 32587121_ES, 32402687-B_ES, 32292915_ES, 32607304_Es, 32612465B_ES, 32586958_ES, 32427774_ES, 32622483_ES	32617903A_ES, 32588475_ES, 32293714_ES, 32428291_ES, 32606044_ES, 32637086A_ES, 32556106_ES, 32554423_ES, 32617903B_ES, 32650881_ES, 32329981_ES, 32622819B_ES, 32557532_ES, 32644205_ES, 32401344_ES, 32267140_ES, 32590204_ES, 32553608­B_ES, 32622819A_ES, 32282871_ES, 32639089_ES, 32589794_ES, 32353183-B_ES, 32276139_B_ES, 32601756_ES, 32612465C_ES, 32587121_ES, 32402687-B_ES, 32292915_ES, 32607304_Es, 32612465B_ES, 32586958_ES, 32427774_ES, 32622483_ES
niña	SEXO-SUJETO-ASISTENCIA	7	3.5	23	niño	431549007	C0870604	niña	nina	32179908_ES, 32640066_ES, 32265235_ES, 32363217_ES, 32636116_ES, 32633439_ES, 32318729_ES	32179908_ES, 32640066_ES, 32265235_ES, 32363217_ES, 32636116_ES, 32633439_ES, 32318729_ES	32179908_ES, 32640066_ES, 32265235_ES, 32363217_ES, 32636116_ES, 32633439_ES, 32318729_ES
china	PAIS	13	6.5	13	chino	223581004	C0008115	China	china	32232784_ES, 32179908_ES, 32292904_ES, 32073161_ES, 32292053_ES, 32119083_ES, 32277408_ES, 32238024_ES, 32269194_ES, 32359711_ES, 32266524_ES, 32168162_ES, 32174057_ES	32232784_ES, 32179908_ES, 32292904_ES, 32073161_ES, 32292053_ES, 32119083_ES, 32277408_ES, 32238024_ES, 32269194_ES, 32359711_ES, 32266524_ES, 32168162_ES, 32174057_ES	32232784_ES, 32179908_ES, 32292904_ES, 32073161_ES, 32292053_ES, 32119083_ES, 32277408_ES, 32238024_ES, 32269194_ES, 32359711_ES, 32266524_ES, 32168162_ES, 32174057_ES
marzo de 2020	FECHAS	11	5.5	12	marzo de 2020			marzo de 2020	marzo de 2020	32653960_ES, 32644205_ES, 32401344_ES, 32222713_ES, 32363336-B_ES, 32620682_ES, 32318729_ES, 3229222_ES, 32650881_ES, 32352487_ES, 32639089_ES	32653960_ES, 32644205_ES, 32401344_ES, 32222713_ES, 32363336-B_ES, 32620682_ES, 32318729_ES, 3229222_ES, 32650881_ES, 32352487_ES, 32639089_ES	32653960_ES, 32644205_ES, 32401344_ES, 32222713_ES, 32363336-B_ES, 32620682_ES, 32318729_ES, 3229222_ES, 32650881_ES, 32352487_ES, 32639089_ES
wuhan	TERRITORIO	9	4.5	10	wuhan			Wuhan	wuhan	32292053_ES, 32238024_ES, 32207255_ES, 32201125_ES, 32269194_ES, 32032497_ES, 32266524_ES, 32276139_ES, 32161941_ES	32292053_ES, 32238024_ES, 32207255_ES, 32201125_ES, 32269194_ES, 32032497_ES, 32266524_ES, 32276139_ES, 32161941_ES	32292053_ES, 32238024_ES, 32207255_ES, 32201125_ES, 32269194_ES, 32032497_ES, 32266524_ES, 32276139_ES, 32161941_ES
marzo	FECHAS	9	4.5	10	marzo			marzo	marzo	32612465A_ES, 32653960_ES, 32276139_C_ES, 32415334_ES, 32606105_ES, 32276139_B_ES, 32606044_ES, 32638347A_ES, 32294258_ES	32612465A_ES, 32653960_ES, 32276139_C_ES, 32415334_ES, 32606105_ES, 32276139_B_ES, 32606044_ES, 32638347A_ES, 32294258_ES	32612465A_ES, 32653960_ES, 32276139_C_ES, 32415334_ES, 32606105_ES, 32276139_B_ES, 32606044_ES, 32638347A_ES, 32294258_ES
febrero de 2020	FECHAS	3	1.5	9	febrero de 2020			febrero de 2020	febrero de 2020	32179908_ES, 32161941_ES, 32165205_ES	32179908_ES, 32161941_ES, 32165205_ES	32179908_ES, 32161941_ES, 32165205_ES
febrero	FECHAS	5	2.5	8	febrero			febrero	febrero	32165205_ES, 32119083_ES, 32276139_C_ES, 32293714_ES, 32161941_ES	32165205_ES, 32119083_ES, 32276139_C_ES, 32293714_ES, 32161941_ES	32165205_ES, 32119083_ES, 32276139_C_ES, 32293714_ES, 32161941_ES
