span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
hipertensión	ENFERMEDAD	40	20.0	41	hipertensión			hipertensión	hipertension	32617903A_ES, 32612465A_ES, 32293714_ES, 32637086A_ES, 32617903B_ES, 32638890_ES, 32638347A_ES, 32360439_ES, 32352487_ES, 32586778_ES, 32612465D_ES, 32161941_ES, 32650881_ES, 32292904_ES, 32363351_ES, 32637437­_ES, 32399449_ES, 32619736_ES, 32637327B_ES, 32294340_ES, 32638347B_ES, 32589794_ES, 32205138_ES, 32648092C_ES, 32352486_ES, 32637086B_ES, 32277408_ES, 32602610_ES, 32637266A_ES, 32648092B_ES, 32612465C_ES, 32360439-C_ES, 32415334_ES, 32360439-B_ES, 32618794_ES, 32427774-B_ES, 32360439-D_ES, 32607304_Es, 32586958_ES, 32427774_ES	32617903A_ES, 32612465A_ES, 32637086A_ES, 32617903B_ES, 32638890_ES, 32638347A_ES, 32360439_ES, 32352487_ES, 32586778_ES, 32612465D_ES, 32650881_ES, 32292904_ES, 32363351_ES, 32637437­_ES, 32399449_ES, 32619736_ES, 32637327B_ES, 32294340_ES, 32638347B_ES, 32589794_ES, 32205138_ES, 32648092C_ES, 32352486_ES, 32637086B_ES, 32602610_ES, 32637266A_ES, 32648092B_ES, 32612465C_ES, 32360439-C_ES, 32415334_ES, 32360439-B_ES, 32618794_ES, 32427774-B_ES, 32360439-D_ES, 32607304_Es, 32586958_ES, 32427774_ES	32617903A_ES, 32612465A_ES, 32293714_ES, 32637086A_ES, 32617903B_ES, 32638890_ES, 32638347A_ES, 32360439_ES, 32352487_ES, 32586778_ES, 32612465D_ES, 32161941_ES, 32650881_ES, 32292904_ES, 32363351_ES, 32637437­_ES, 32399449_ES, 32619736_ES, 32637327B_ES, 32294340_ES, 32638347B_ES, 32589794_ES, 32205138_ES, 32648092C_ES, 32352486_ES, 32637086B_ES, 32277408_ES, 32602610_ES, 32637266A_ES, 32648092B_ES, 32612465C_ES, 32360439-C_ES, 32415334_ES, 32360439-B_ES, 32618794_ES, 32427774-B_ES, 32360439-D_ES, 32607304_Es, 32586958_ES, 32427774_ES
covid-19	ENFERMEDAD	34	17.0	36	covid-19	840533007		COVID-19	covid19	32631770_ES, 32320556_ES, 32593478_ES, 32427645_ES, 32612435_ES, 32427161_ES, 32363336-B_ES, 32266524_ES, 32556106_ES, 32276139_ES, 32638347A_ES, 32593338_ES, 32615807C_ES, 32638347C_ES, 32636116_ES, 32616174_ES, 32638347B_ES, 32639089_ES, 32352486_ES, 32631645_ES, 32640066_ES, 32292053_ES, 32364123_ES, 32245909_ES, 32267461_ES, 32423911_ES, 32292867_ES, 32425356_ES, 32589931_ES, 32165205_ES, 32415334_ES, 32360439-B_ES, 32399450_ES, 32631646_ES	32631770_ES, 32320556_ES, 32593478_ES, 32427645_ES, 32612435_ES, 32427161_ES, 32363336-B_ES, 32266524_ES, 32276139_ES, 32638347A_ES, 32615807C_ES, 32638347C_ES, 32636116_ES, 32616174_ES, 32638347B_ES, 32639089_ES, 32352486_ES, 32640066_ES, 32292053_ES, 32364123_ES, 32245909_ES, 32267461_ES, 32423911_ES, 32292867_ES, 32425356_ES, 32589931_ES, 32165205_ES, 32415334_ES, 32399450_ES, 32631646_ES	32631770_ES, 32593478_ES, 32427645_ES, 32363336-B_ES, 32266524_ES, 32556106_ES, 32276139_ES, 32638347A_ES, 32593338_ES, 32615807C_ES, 32638347C_ES, 32636116_ES, 32616174_ES, 32639089_ES, 32352486_ES, 32631645_ES, 32640066_ES, 32292053_ES, 32364123_ES, 32245909_ES, 32267461_ES, 32423911_ES, 32292867_ES, 32425356_ES, 32589931_ES, 32165205_ES, 32360439-B_ES, 32399450_ES
infección por sars-cov-2	ENFERMEDAD	19	9.5	21	infección por sars-cov-2			infección por SARS-CoV-2	infeccion por sarscov2	32554811_ES, 32641443_ES, 32415334_ES, 32653906_ES, 32590204_ES, 32360384_ES, 32353183-B_ES, 32267502_ES, 32618794_ES, 32423911_ES, 32208010_ES, 32412848_ES, 32267483_ES, 32418288_ES, 32606044_ES, 32283294_ES, 32161941_ES, 32605712_ES, 32353183_ES	32554811_ES, 32641443_ES, 32415334_ES, 32653906_ES, 32590204_ES, 32360384_ES, 32353183-B_ES, 32267502_ES, 32618794_ES, 32423911_ES, 32208010_ES, 32412848_ES, 32267483_ES, 32418288_ES, 32606044_ES, 32283294_ES, 32161941_ES, 32605712_ES, 32353183_ES	32554811_ES, 32641443_ES, 32415334_ES, 32653906_ES, 32590204_ES, 32360384_ES, 32353183-B_ES, 32267502_ES, 32618794_ES, 32423911_ES, 32208010_ES, 32412848_ES, 32267483_ES, 32418288_ES, 32606044_ES, 32283294_ES, 32161941_ES, 32605712_ES, 32353183_ES
neumonía por covid-19	ENFERMEDAD	16	8.0	18	neumonía por covid-19			neumonía por COVID-19	neumonia por covid19	32589931_ES, 32292904_ES, 32611761B_ES, 32399449_ES, 32399449-B_ES, 32593478_ES, 32245909_ES, 32399694­­_ES, 32553608­B_ES, 32208010_ES, 32637266A_ES, 32292915_ES, 32589314_ES, 32428291_ES, 32606044_ES, 32351657_ES	32589931_ES, 32292904_ES, 32611761B_ES, 32399449_ES, 32399449-B_ES, 32593478_ES, 32245909_ES, 32399694­­_ES, 32553608­B_ES, 32208010_ES, 32637266A_ES, 32292915_ES, 32589314_ES, 32428291_ES, 32606044_ES	32589931_ES, 32292904_ES, 32611761B_ES, 32399449_ES, 32399449-B_ES, 32245909_ES, 32399694­­_ES, 32208010_ES, 32637266A_ES, 32292915_ES, 32589314_ES, 32428291_ES, 32606044_ES, 32351657_ES
derrame pleural	ENFERMEDAD	14	7.0	18	derrame pleural	60046008	C0032227	derrame pleural	derrame pleural	32557532_ES, 32637086B_ES, 32399449-B_ES, 32635747_ES, 32602267_ES, 32609542_ES, 32427645_ES, 32222713_ES, 32208010_ES, 32292867_ES, 32638347B_ES, 32278585_ES, 32282871_B_ES, 32174057_ES	32637086B_ES, 32399449-B_ES, 32635747_ES, 32602267_ES, 32609542_ES, 32427645_ES, 32292867_ES, 32638347B_ES, 32278585_ES, 32282871_B_ES, 32174057_ES	32557532_ES, 32637086B_ES, 32399449-B_ES, 32635747_ES, 32602267_ES, 32609542_ES, 32427645_ES, 32222713_ES, 32208010_ES, 32292867_ES, 32638347B_ES, 32278585_ES, 32282871_B_ES, 32174057_ES
taquicardia	ENFERMEDAD	17	8.5	17	taquicardia	3424008	C0039231	taquicardia	taquicardia	32320556_ES, 32637086B_ES, 32593478_ES, 32353183_ES, 32602267_ES, 32360384_ES, 32586778_ES, 32427161_ES, 32612465C_ES, 32586958_ES, 32427645_ES, 32631838_ES, 32363336_ES, 32318729_ES, 32351657_ES, 32360439_ES, 32584431_ES	32320556_ES, 32637086B_ES, 32593478_ES, 32353183_ES, 32602267_ES, 32360384_ES, 32586958_ES, 32427161_ES, 32612465C_ES, 32427645_ES, 32631838_ES, 32363336_ES, 32318729_ES, 32351657_ES, 32360439_ES, 32584431_ES	32320556_ES, 32637086B_ES, 32593478_ES, 32353183_ES, 32602267_ES, 32360384_ES, 32586778_ES, 32427161_ES, 32612465C_ES, 32586958_ES, 32427645_ES, 32631838_ES, 32363336_ES, 32318729_ES, 32351657_ES, 32360439_ES, 32584431_ES
linfocitopenia	ENFERMEDAD	16	8.0	17	linfocitopenia	48813009	C0024312, C0300946	linfocitopenia	linfocitopenia	32399451_ES, 32554811_ES, 32631770_ES, 32588475_ES, 32648092C_ES, 32427161_ES, 32246917_ES, 32553608­B_ES, 32351657_ES, 32208010_ES, 32359804_ES, 32586958_ES, 32609542_ES, 32554425_ES, 32353183_ES, 32205138_ES	32399451_ES, 32554811_ES, 32588475_ES, 32648092C_ES, 32427161_ES, 32246917_ES, 32553608­B_ES, 32351657_ES, 32208010_ES, 32586958_ES, 32609542_ES, 32554425_ES, 32353183_ES, 32205138_ES	32399451_ES, 32554811_ES, 32631770_ES, 32588475_ES, 32648092C_ES, 32427161_ES, 32246917_ES, 32553608­B_ES, 32351657_ES, 32208010_ES, 32359804_ES, 32586958_ES, 32609542_ES, 32554425_ES, 32353183_ES, 32205138_ES
gestación	ENFERMEDAD	13	6.5	17	gestación			gestación	gestacion	32119083_ES, 32363217_ES, 32618794_ES, 32590725_ES, 32594151_ES, 32637327B_ES, 32614251_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32292054_ES, 32161941_ES, 32594429_ES	32119083_ES, 32363217_ES, 32618794_ES, 32590725_ES, 32594151_ES, 32637327B_ES, 32614251_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32292054_ES, 32161941_ES, 32594429_ES	32119083_ES, 32363217_ES, 32618794_ES, 32590725_ES, 32594151_ES, 32637327B_ES, 32614251_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32292054_ES, 32161941_ES, 32594429_ES
neumonía	ENFERMEDAD	14	7.0	16	neumonía	60363000, 233604007		neumonía	neumonia	32179908_ES, 32364123_ES, 32267140_ES, 32415334_ES, 32208010_ES, 32606105_ES, 32619798_ES, 32589314_ES, 32611659_ES, 32607304_Es, 32622819A_ES, 32425356_ES, 32623310_ES, 32426200_ES	32179908_ES, 32364123_ES, 32267140_ES, 32415334_ES, 32208010_ES, 32619798_ES, 32589314_ES, 32611659_ES, 32607304_Es, 32622819A_ES, 32425356_ES, 32623310_ES, 32426200_ES	32179908_ES, 32364123_ES, 32267140_ES, 32415334_ES, 32208010_ES, 32606105_ES, 32623310_ES, 32589314_ES, 32611659_ES, 32607304_Es, 32425356_ES, 32426200_ES
trombocitopenia	ENFERMEDAD	15	7.5	15	trombocitopenia	70786006, 302215000, 415116008	C0040034, C0040034, C0040034, C0392386	trombocitopenia	trombocitopenia	32587121_ES, 32651243_ES, 32198834_ES, 32196627_ES, 32427645_ES, 32427161_ES, 32636116_ES, 32246917_ES, 32359711_ES, 32294340_ES, 32617169_ES, 32622819A_ES, 32554425_ES, 32399450_ES, 32250095_ES	32587121_ES, 32651243_ES, 32198834_ES, 32196627_ES, 32427645_ES, 32427161_ES, 32636116_ES, 32246917_ES, 32359711_ES, 32294340_ES, 32617169_ES, 32622819A_ES, 32554425_ES, 32399450_ES, 32250095_ES	32587121_ES, 32651243_ES, 32198834_ES, 32196627_ES, 32427645_ES, 32427161_ES, 32636116_ES, 32246917_ES, 32359711_ES, 32294340_ES, 32617169_ES, 32622819A_ES, 32554425_ES, 32399450_ES, 32250095_ES
