span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
saturación de oxígeno	ENTIDAD-OBSERVABLE	76	38.0	110	saturación de oxígeno	103228002		saturación de oxígeno	saturacion de oxigeno	32615807B_ES, 32612465A_ES, 32320556_ES, 32641443_ES, 32198834_ES, 32196627_ES, 32612435_ES, 32615807A_ES, 32637327A_ES, 32208010_ES, 32418288_ES, 32637086A_ES, 32363336_ES, 32615807C_ES, 32351657_ES, 32638347A_ES, 32161941_ES, 32638347C_ES, 32612465D_ES, 32650881_ES, 32179908_ES, 32292904_ES, 32363351_ES, 32414534_ES, 32119083_ES, 32637437­_ES, 32557532_ES, 32267140_ES, 32265235_ES, 32636116_ES, 32614251_ES, 32246917_ES, 32637327B_ES, 32294340_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32623310_ES, 32638347B_ES, 32247016_ES, 32584431_ES, 32282312_ES, 32640066_ES, 32637086B_ES, 32292053_ES, 32277408_ES, 32267461_ES, 32353183-B_ES, 32269194_ES, 32412848_ES, 32637266A_ES, 32605766_ES, 32611659_ES, 32648092B_ES, 32278585_ES, 32612465C_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32402687-B_ES, 32238024_ES, 32586958_ES, 32085846_ES, 32618794_ES, 32594151_ES, 32417987_ES, 32292915_ES, 32617169_ES, 32607304_Es, 32612465B_ES, 32427774_ES, 32317275_ES, 32609542_ES, 32554425_ES, 32399450_ES, 32168162_ES	32615807B_ES, 32612465A_ES, 32320556_ES, 32641443_ES, 32198834_ES, 32196627_ES, 32612435_ES, 32615807A_ES, 32637327A_ES, 32208010_ES, 32418288_ES, 32637086A_ES, 32363336_ES, 32615807C_ES, 32351657_ES, 32638347A_ES, 32161941_ES, 32638347C_ES, 32612465D_ES, 32650881_ES, 32179908_ES, 32292904_ES, 32363351_ES, 32414534_ES, 32119083_ES, 32637437­_ES, 32557532_ES, 32267140_ES, 32265235_ES, 32636116_ES, 32614251_ES, 32246917_ES, 32637327B_ES, 32294340_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32623310_ES, 32638347B_ES, 32247016_ES, 32584431_ES, 32282312_ES, 32640066_ES, 32637086B_ES, 32292053_ES, 32277408_ES, 32267461_ES, 32353183-B_ES, 32269194_ES, 32412848_ES, 32637266A_ES, 32605766_ES, 32611659_ES, 32648092B_ES, 32278585_ES, 32612465C_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32402687-B_ES, 32238024_ES, 32586958_ES, 32085846_ES, 32618794_ES, 32594151_ES, 32417987_ES, 32292915_ES, 32617169_ES, 32607304_Es, 32612465B_ES, 32427774_ES, 32317275_ES, 32609542_ES, 32554425_ES, 32399450_ES, 32168162_ES	32615807B_ES, 32612465A_ES, 32320556_ES, 32641443_ES, 32198834_ES, 32196627_ES, 32612435_ES, 32615807A_ES, 32637327A_ES, 32208010_ES, 32418288_ES, 32637086A_ES, 32363336_ES, 32615807C_ES, 32351657_ES, 32638347A_ES, 32161941_ES, 32638347C_ES, 32612465D_ES, 32650881_ES, 32179908_ES, 32292904_ES, 32363351_ES, 32414534_ES, 32119083_ES, 32637437­_ES, 32557532_ES, 32267140_ES, 32265235_ES, 32636116_ES, 32614251_ES, 32246917_ES, 32637327B_ES, 32294340_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32623310_ES, 32638347B_ES, 32247016_ES, 32584431_ES, 32282312_ES, 32640066_ES, 32637086B_ES, 32292053_ES, 32277408_ES, 32267461_ES, 32353183-B_ES, 32269194_ES, 32412848_ES, 32637266A_ES, 32605766_ES, 32611659_ES, 32648092B_ES, 32278585_ES, 32612465C_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32402687-B_ES, 32238024_ES, 32586958_ES, 32085846_ES, 32618794_ES, 32594151_ES, 32417987_ES, 32292915_ES, 32617169_ES, 32607304_Es, 32612465B_ES, 32427774_ES, 32317275_ES, 32609542_ES, 32554425_ES, 32399450_ES, 32168162_ES
temperatura	ENTIDAD-OBSERVABLE	74	37.0	91	temperatura	703421000, 246508008, 722490005	C0005903, C0039476, C0039476	temperatura	temperatura	32615807B_ES, 32073161_ES, 32320556_ES, 32641443_ES, 32198834_ES, 32593478_ES, 32293714_ES, 32615807A_ES, 32637327A_ES, 32359711_ES, 32363336-B_ES, 32208010_ES, 32648092A_ES, 32418288_ES, 32637086A_ES, 32363336_ES, 32615807C_ES, 32593338_ES, 32161941_ES, 32174057_ES, 32622819B_ES, 32292904_ES, 32363351_ES, 32644205_ES, 32637437­_ES, 32637266B_ES, 32267140_ES, 32265235_ES, 32590204_ES, 32119083_ES, 32636116_ES, 32246917_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32282871_ES, 32205138_ES, 32282312_ES, 32648092C_ES, 32232784_ES, 32640066_ES, 32637086B_ES, 32292053_ES, 32267461_ES, 32586676_ES, 32222713_ES, 32269194_ES, 32637266A_ES, 32601756_ES, 32611659_ES, 32292867_ES, 32605766_ES, 32318729_ES, 32278585_ES, 32207255_ES, 32294258_ES, 32562891_ES, 32282871_B_ES, 32587121_ES, 32360439-C_ES, 32238024_ES, 32360439-B_ES, 32586958_ES, 32618794_ES, 32085846_ES, 32594151_ES, 32267502_ES, 32417987_ES, 32617169_ES, 32607304_Es, 32427774_ES, 32292054_ES, 32399450_ES, 32168162_ES	32615807B_ES, 32073161_ES, 32320556_ES, 32641443_ES, 32198834_ES, 32593478_ES, 32293714_ES, 32615807A_ES, 32637327A_ES, 32359711_ES, 32363336-B_ES, 32208010_ES, 32648092A_ES, 32418288_ES, 32637086A_ES, 32363336_ES, 32615807C_ES, 32593338_ES, 32161941_ES, 32174057_ES, 32622819B_ES, 32292904_ES, 32363351_ES, 32644205_ES, 32637437­_ES, 32637266B_ES, 32267140_ES, 32265235_ES, 32590204_ES, 32119083_ES, 32636116_ES, 32246917_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32282871_ES, 32205138_ES, 32282312_ES, 32648092C_ES, 32232784_ES, 32640066_ES, 32637086B_ES, 32292053_ES, 32267461_ES, 32586676_ES, 32222713_ES, 32269194_ES, 32637266A_ES, 32601756_ES, 32611659_ES, 32292867_ES, 32605766_ES, 32318729_ES, 32278585_ES, 32207255_ES, 32294258_ES, 32562891_ES, 32282871_B_ES, 32587121_ES, 32360439-C_ES, 32238024_ES, 32360439-B_ES, 32586958_ES, 32618794_ES, 32085846_ES, 32594151_ES, 32267502_ES, 32417987_ES, 32617169_ES, 32607304_Es, 32427774_ES, 32292054_ES, 32399450_ES, 32168162_ES	32615807B_ES, 32073161_ES, 32320556_ES, 32641443_ES, 32198834_ES, 32593478_ES, 32293714_ES, 32615807A_ES, 32637327A_ES, 32359711_ES, 32363336-B_ES, 32208010_ES, 32648092A_ES, 32418288_ES, 32637086A_ES, 32363336_ES, 32615807C_ES, 32593338_ES, 32161941_ES, 32174057_ES, 32622819B_ES, 32292904_ES, 32363351_ES, 32644205_ES, 32637437­_ES, 32637266B_ES, 32267140_ES, 32265235_ES, 32590204_ES, 32119083_ES, 32636116_ES, 32246917_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32282871_ES, 32205138_ES, 32282312_ES, 32648092C_ES, 32232784_ES, 32640066_ES, 32637086B_ES, 32292053_ES, 32267461_ES, 32586676_ES, 32222713_ES, 32269194_ES, 32637266A_ES, 32601756_ES, 32611659_ES, 32292867_ES, 32605766_ES, 32318729_ES, 32278585_ES, 32207255_ES, 32294258_ES, 32562891_ES, 32282871_B_ES, 32587121_ES, 32360439-C_ES, 32238024_ES, 32360439-B_ES, 32586958_ES, 32618794_ES, 32085846_ES, 32594151_ES, 32267502_ES, 32417987_ES, 32617169_ES, 32607304_Es, 32427774_ES, 32292054_ES, 32399450_ES, 32168162_ES
proteína c-reactiva	ENTIDAD-OBSERVABLE	57	28.5	67	proteína c-reactivo			proteína C-reactiva	proteina creactiva	32612465A_ES, 32198834_ES, 32427645_ES, 32402687_ES, 32363336-B_ES, 32032497_ES, 32266524_ES, 32637086A_ES, 32351657_ES, 32593338_ES, 32360439_ES, 32250095_ES, 32638347C_ES, 32612465D_ES, 32622819B_ES, 32292904_ES, 32644205_ES, 32119083_ES, 32267140_ES, 32294340_ES, 32623310_ES, 32638347B_ES, 32247016_ES, 32282871_ES, 32584431_ES, 32282312_ES, 32399451_ES, 32294273_ES, 32232784_ES, 32640066_ES, 32637086B_ES, 32245909_ES, 32267461_ES, 32423911_ES, 32423738_ES, 32201125_ES, 32276139_B_ES, 32611659_ES, 32425356_ES, 32278585_ES, 32612465C_ES, 32282871_B_ES, 32294258_ES, 32554621_ES, 32589931_ES, 32554811_ES, 32360439-C_ES, 32402687-B_ES, 32276139_C_ES, 32275347_ES, 32588185_ES, 32586752_ES, 32617169_ES, 32612465B_ES, 32639461_ES, 32554425_ES, 32168162_ES	32612465A_ES, 32198834_ES, 32427645_ES, 32402687_ES, 32363336-B_ES, 32032497_ES, 32266524_ES, 32637086A_ES, 32351657_ES, 32593338_ES, 32360439_ES, 32250095_ES, 32638347C_ES, 32612465D_ES, 32622819B_ES, 32292904_ES, 32644205_ES, 32119083_ES, 32267140_ES, 32294340_ES, 32623310_ES, 32638347B_ES, 32247016_ES, 32282871_ES, 32584431_ES, 32282312_ES, 32399451_ES, 32294273_ES, 32232784_ES, 32640066_ES, 32637086B_ES, 32245909_ES, 32267461_ES, 32423911_ES, 32423738_ES, 32201125_ES, 32276139_B_ES, 32611659_ES, 32425356_ES, 32278585_ES, 32612465C_ES, 32282871_B_ES, 32294258_ES, 32554621_ES, 32589931_ES, 32554811_ES, 32360439-C_ES, 32402687-B_ES, 32276139_C_ES, 32275347_ES, 32588185_ES, 32586752_ES, 32617169_ES, 32612465B_ES, 32639461_ES, 32554425_ES, 32168162_ES	32612465A_ES, 32198834_ES, 32427645_ES, 32402687_ES, 32363336-B_ES, 32032497_ES, 32266524_ES, 32637086A_ES, 32351657_ES, 32593338_ES, 32360439_ES, 32250095_ES, 32638347C_ES, 32612465D_ES, 32622819B_ES, 32292904_ES, 32644205_ES, 32119083_ES, 32267140_ES, 32294340_ES, 32623310_ES, 32638347B_ES, 32247016_ES, 32282871_ES, 32584431_ES, 32282312_ES, 32399451_ES, 32294273_ES, 32232784_ES, 32640066_ES, 32637086B_ES, 32245909_ES, 32267461_ES, 32423911_ES, 32423738_ES, 32201125_ES, 32276139_B_ES, 32611659_ES, 32425356_ES, 32278585_ES, 32612465C_ES, 32282871_B_ES, 32294258_ES, 32554621_ES, 32589931_ES, 32554811_ES, 32360439-C_ES, 32402687-B_ES, 32276139_C_ES, 32275347_ES, 32588185_ES, 32586752_ES, 32617169_ES, 32612465B_ES, 32639461_ES, 32554425_ES, 32168162_ES
frecuencia respiratoria	ENTIDAD-OBSERVABLE	50	25.0	58	frecuencia respiratorio	86290005	C0231832	frecuencia respiratoria	frecuencia respiratoria	32615807B_ES, 32073161_ES, 32320556_ES, 32198834_ES, 32612435_ES, 32637327A_ES, 32363336-B_ES, 32620682_ES, 32637086A_ES, 32363336_ES, 32161941_ES, 32638347C_ES, 32414534_ES, 32363351_ES, 32637266B_ES, 32637437­_ES, 32399449_ES, 32636116_ES, 32246917_ES, 32637327B_ES, 32294340_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32426200_ES, 32563170_ES, 32205138_ES, 32282312_ES, 32232784_ES, 32637086B_ES, 32292053_ES, 32267461_ES, 32423911_ES, 32269194_ES, 32412848_ES, 32637266A_ES, 32292867_ES, 32611659_ES, 32215898_ES, 32605766_ES, 32318729_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32238024_ES, 32618794_ES, 32594151_ES, 32427774-B_ES, 32607304_Es, 32427774_ES	32615807B_ES, 32073161_ES, 32320556_ES, 32198834_ES, 32612435_ES, 32637327A_ES, 32363336-B_ES, 32620682_ES, 32637086A_ES, 32363336_ES, 32161941_ES, 32638347C_ES, 32414534_ES, 32363351_ES, 32637266B_ES, 32637437­_ES, 32399449_ES, 32636116_ES, 32246917_ES, 32637327B_ES, 32294340_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32426200_ES, 32563170_ES, 32205138_ES, 32282312_ES, 32232784_ES, 32637086B_ES, 32292053_ES, 32267461_ES, 32423911_ES, 32269194_ES, 32412848_ES, 32637266A_ES, 32292867_ES, 32611659_ES, 32215898_ES, 32605766_ES, 32318729_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32238024_ES, 32618794_ES, 32594151_ES, 32427774-B_ES, 32607304_Es, 32427774_ES	32615807B_ES, 32073161_ES, 32320556_ES, 32198834_ES, 32612435_ES, 32637327A_ES, 32363336-B_ES, 32620682_ES, 32637086A_ES, 32363336_ES, 32161941_ES, 32638347C_ES, 32414534_ES, 32363351_ES, 32637266B_ES, 32637437­_ES, 32399449_ES, 32636116_ES, 32246917_ES, 32637327B_ES, 32294340_ES, 32619798_ES, 32631838_ES, 32622819A_ES, 32426200_ES, 32563170_ES, 32205138_ES, 32282312_ES, 32232784_ES, 32637086B_ES, 32292053_ES, 32267461_ES, 32423911_ES, 32269194_ES, 32412848_ES, 32637266A_ES, 32292867_ES, 32611659_ES, 32215898_ES, 32605766_ES, 32318729_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32238024_ES, 32618794_ES, 32594151_ES, 32427774-B_ES, 32607304_Es, 32427774_ES
presión arterial	ENTIDAD-OBSERVABLE	52	26.0	56	presión arterial	386534000, 250765005	C1272641, C1272641	presión arterial	presion arterial	32073161_ES, 32320556_ES, 32198834_ES, 32427645_ES, 32612435_ES, 32615807A_ES, 32402687_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32351657_ES, 32161941_ES, 32250095_ES, 3229222_ES, 32622819B_ES, 32292904_ES, 32363351_ES, 32414534_ES, 32119083_ES, 32399450_ES, 32636116_ES, 32637327B_ES, 32631838_ES, 32622819A_ES, 32426200_ES, 32205138_ES, 32282312_ES, 32232784_ES, 32640066_ES, 32292053_ES, 32267461_ES, 32423911_ES, 32269194_ES, 32637266A_ES, 32292867_ES, 32611659_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32360439-C_ES, 32402687-B_ES, 32238024_ES, 32360439-B_ES, 32586958_ES, 32594151_ES, 32267502_ES, 32427774-B_ES, 32607304_Es, 32317275_ES, 32427774_ES, 32275347_ES, 32622483_ES	32073161_ES, 32320556_ES, 32198834_ES, 32427645_ES, 32612435_ES, 32615807A_ES, 32402687_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32351657_ES, 32161941_ES, 32250095_ES, 3229222_ES, 32622819B_ES, 32292904_ES, 32363351_ES, 32414534_ES, 32119083_ES, 32399450_ES, 32636116_ES, 32637327B_ES, 32631838_ES, 32622819A_ES, 32426200_ES, 32205138_ES, 32282312_ES, 32232784_ES, 32640066_ES, 32292053_ES, 32267461_ES, 32423911_ES, 32269194_ES, 32637266A_ES, 32292867_ES, 32611659_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32360439-C_ES, 32402687-B_ES, 32238024_ES, 32360439-B_ES, 32586958_ES, 32594151_ES, 32267502_ES, 32427774-B_ES, 32607304_Es, 32317275_ES, 32427774_ES, 32275347_ES, 32622483_ES	32073161_ES, 32320556_ES, 32198834_ES, 32427645_ES, 32612435_ES, 32615807A_ES, 32402687_ES, 32637327A_ES, 32363336-B_ES, 32363336_ES, 32351657_ES, 32161941_ES, 32250095_ES, 3229222_ES, 32622819B_ES, 32292904_ES, 32363351_ES, 32414534_ES, 32119083_ES, 32399450_ES, 32636116_ES, 32637327B_ES, 32631838_ES, 32622819A_ES, 32426200_ES, 32205138_ES, 32282312_ES, 32232784_ES, 32640066_ES, 32292053_ES, 32267461_ES, 32423911_ES, 32269194_ES, 32637266A_ES, 32292867_ES, 32611659_ES, 32562891_ES, 32589931_ES, 32587121_ES, 32360439-C_ES, 32402687-B_ES, 32238024_ES, 32360439-B_ES, 32586958_ES, 32594151_ES, 32267502_ES, 32427774-B_ES, 32607304_Es, 32317275_ES, 32427774_ES, 32275347_ES, 32622483_ES
dímero D	ENTIDAD-OBSERVABLE	38	19.0	50	dímero D			dímero D	dimero D	32617903A_ES, 32198834_ES, 32427645_ES, 32427161_ES, 32402687_ES, 32359711_ES, 32648092A_ES, 32418288_ES, 32637086A_ES, 32329981_ES, 3229222_ES, 32586778_ES, 32352487_ES, 32179908_ES, 32119083_ES, 32637437­_ES, 32399449_ES, 32637327B_ES, 32353183_ES, 32584431_ES, 32648092C_ES, 32639089_ES, 32637086B_ES, 32353183-B_ES, 32423738_ES, 32276139_B_ES, 32215898_ES, 32294258_ES, 32589931_ES, 32554811_ES, 32360439-C_ES, 32402687-B_ES, 32360439-B_ES, 32427774-B_ES, 32360439-D_ES, 32615155_ES, 32639461_ES, 32427774_ES	32617903A_ES, 32198834_ES, 32427645_ES, 32427161_ES, 32402687_ES, 32359711_ES, 32648092A_ES, 32418288_ES, 32637086A_ES, 32329981_ES, 3229222_ES, 32586778_ES, 32352487_ES, 32179908_ES, 32119083_ES, 32637437­_ES, 32399449_ES, 32637327B_ES, 32353183_ES, 32584431_ES, 32648092C_ES, 32639089_ES, 32637086B_ES, 32353183-B_ES, 32423738_ES, 32276139_B_ES, 32215898_ES, 32294258_ES, 32589931_ES, 32554811_ES, 32360439-C_ES, 32402687-B_ES, 32427774-B_ES, 32360439-D_ES, 32615155_ES, 32639461_ES, 32427774_ES	32617903A_ES, 32198834_ES, 32427645_ES, 32427161_ES, 32402687_ES, 32359711_ES, 32648092A_ES, 32418288_ES, 32637086A_ES, 32329981_ES, 3229222_ES, 32586778_ES, 32352487_ES, 32179908_ES, 32119083_ES, 32637437­_ES, 32399449_ES, 32637327B_ES, 32353183_ES, 32584431_ES, 32648092C_ES, 32639089_ES, 32637086B_ES, 32353183-B_ES, 32423738_ES, 32276139_B_ES, 32215898_ES, 32294258_ES, 32589931_ES, 32554811_ES, 32360439-C_ES, 32402687-B_ES, 32360439-B_ES, 32427774-B_ES, 32360439-D_ES, 32615155_ES, 32639461_ES, 32427774_ES
spo2	ENTIDAD-OBSERVABLE	13	6.5	20	spo2			SpO2	spo2	32292053_ES, 32423911_ES, 32594151_ES, 32637327A_ES, 32637327B_ES, 32363336-B_ES, 32267502_ES, 32427774-B_ES, 32637266A_ES, 32418288_ES, 32363336_ES, 32207255_ES, 32427774_ES	32292053_ES, 32423911_ES, 32594151_ES, 32637327A_ES, 32637327B_ES, 32363336-B_ES, 32267502_ES, 32427774-B_ES, 32637266A_ES, 32418288_ES, 32363336_ES, 32207255_ES, 32427774_ES	32292053_ES, 32423911_ES, 32594151_ES, 32637327A_ES, 32637327B_ES, 32363336-B_ES, 32267502_ES, 32427774-B_ES, 32637266A_ES, 32418288_ES, 32363336_ES, 32207255_ES, 32427774_ES
procalcitonina	ENTIDAD-OBSERVABLE	16	8.0	18	procalcitonina	418752001	C0072027	procalcitonina	procalcitonina	32399451_ES, 32587121_ES, 32292904_ES, 32640066_ES, 32292053_ES, 32198834_ES, 32119083_ES, 32267140_ES, 32602267_ES, 32606105_ES, 32363336-B_ES, 32605766_ES, 32611659_ES, 32215898_ES, 32363336_ES, 32329981_ES	32399451_ES, 32587121_ES, 32292904_ES, 32640066_ES, 32292053_ES, 32198834_ES, 32119083_ES, 32267140_ES, 32602267_ES, 32606105_ES, 32363336-B_ES, 32605766_ES, 32611659_ES, 32215898_ES, 32363336_ES, 32329981_ES	32399451_ES, 32587121_ES, 32292904_ES, 32640066_ES, 32292053_ES, 32198834_ES, 32119083_ES, 32267140_ES, 32602267_ES, 32606105_ES, 32363336-B_ES, 32605766_ES, 32611659_ES, 32215898_ES, 32363336_ES, 32329981_ES
PCR	ENTIDAD-OBSERVABLE	13	6.5	13	PCR			PCR	PCR	32179908_ES, 32651243_ES, 32640066_ES, 32402687-B_ES, 32427645_ES, 32402687_ES, 32614251_ES, 32360439-D_ES, 32425356_ES, 32653210_ES, 3229222_ES, 32360439_ES, 32639089_ES	32179908_ES, 32651243_ES, 32640066_ES, 32402687-B_ES, 32427645_ES, 32402687_ES, 32614251_ES, 32360439-D_ES, 32425356_ES, 32653210_ES, 3229222_ES, 32360439_ES, 32639089_ES	32179908_ES, 32651243_ES, 32640066_ES, 32402687-B_ES, 32427645_ES, 32402687_ES, 32614251_ES, 32360439-D_ES, 32425356_ES, 32653210_ES, 3229222_ES, 32360439_ES, 32639089_ES
velocidad de sedimentación globular	ENTIDAD-OBSERVABLE	12	6.0	12	velocidad de sedimentación globular			velocidad de sedimentación globular	velocidad de sedimentacion globular	32399451_ES, 32179908_ES, 32640066_ES, 32265235_ES, 32201125_ES, 32606105_ES, 32032497_ES, 32637086A_ES, 32276139_ES, 32294258_ES, 32168162_ES, 32622819B_ES	32399451_ES, 32179908_ES, 32640066_ES, 32265235_ES, 32201125_ES, 32606105_ES, 32032497_ES, 32637086A_ES, 32276139_ES, 32294258_ES, 32168162_ES, 32622819B_ES	32399451_ES, 32179908_ES, 32640066_ES, 32265235_ES, 32201125_ES, 32606105_ES, 32032497_ES, 32637086A_ES, 32276139_ES, 32294258_ES, 32168162_ES, 32622819B_ES
