id	title	group	label
microtrombos pulmonares	microtrombos pulmonares	ENFERMEDAD	microtrombos pulmonares
ampar	ampar	PROTEINAS	ampar
64 anos	64 anos	EDAD-SUJETO-ASISTENCIA	64 anos
sulbactam	sulbactam	FARMACO	sulbactam
anticuerpos antigangliosidos (proteinas)	anticuerpos antigangliosidos	PROTEINAS	anticuerpos antigangliosidos
arreflexia en ambas piernas y pies	arreflexia en ambas piernas y pies	SINTOMA	arreflexia en ambas piernas y pies
dolor	dolor	SINTOMA	dolor
enzimas hepaticas (entidad-observable)	enzimas hepaticas	ENTIDAD-OBSERVABLE	enzimas hepaticas
brasil	brasil	PAIS	brasil
anemia	anemia	ENFERMEDAD	anemia
dificultad creciente para respirar	dificultad creciente para respirar	SINTOMA	dificultad creciente para respirar
insuficiencia cardiaca congestiva	insuficiencia cardiaca congestiva	ENFERMEDAD	insuficiencia cardiaca congestiva
parvovirus B19	parvovirus B19	SPECIES	parvovirus B19
cardiomegalia (sintoma)	cardiomegalia	SINTOMA	cardiomegalia
anticuerpos anticardiolipinicos	anticuerpos anticardiolipinicos	PROTEINAS	anticuerpos anticardiolipinicos
PPC	PPC	ENTIDAD-OBSERVABLE	PPC
INR	INR	ENTIDAD-OBSERVABLE	INR
gangrena	gangrena	ENFERMEDAD	gangrena
infusion iv	infusion iv	PROCEDIMIENTO	infusion iv
anticuerpos antiadn	anticuerpos antiadn	PROTEINAS	anticuerpos antiadn
cefalea	cefalea	SINTOMA	cefalea
ventilacion mecanica positiva continua	ventilacion mecanica positiva continua	PROCEDIMIENTO	ventilacion mecanica positiva continua
falta de realce de parte del intestino delgado	falta de realce de parte del intestino delgado	SINTOMA	falta de realce de parte del intestino delgado
oxigenoterapia mediante canula nasal	oxigenoterapia mediante canula nasal	PROCEDIMIENTO	oxigenoterapia mediante canula nasal
aspartatotransaminasa (entidad-observable)	aspartatotransaminasa	ENTIDAD-OBSERVABLE	aspartatotransaminasa
lloro excesivo	lloro excesivo	SINTOMA	lloro excesivo
PCR del LCR	PCR del LCR	PROCEDIMIENTO	PCR del LCR
troponina cardiaca	troponina cardiaca	ENTIDAD-OBSERVABLE	troponina cardiaca
intolerancia fetal (sintoma)	intolerancia fetal	SINTOMA	intolerancia fetal
irritabilidad	irritabilidad	SINTOMA	irritabilidad
angiografia	angiografia	PROCEDIMIENTO	angiografia
pantoprazol	pantoprazol	FARMACO	pantoprazol
exploracion cardiopulmonar	exploracion cardiopulmonar	PROCEDIMIENTO	exploracion cardiopulmonar
troponina I inicial	troponina I inicial	PROTEINAS	troponina I inicial
presion parcial de oxigeno arterial	presion parcial de oxigeno arterial	ENTIDAD-OBSERVABLE	presion parcial de oxigeno arterial
electrocardiograficos	electrocardiograficos	PROCEDIMIENTO	electrocardiograficos
alerta	alerta	SINTOMA	alerta
bacteroides ovalus	bacteroides ovalus	SPECIES	bacteroides ovalus
paraplejia	paraplejia	ENFERMEDAD	paraplejia
dimerod	dimerod	PROTEINAS	dimerod
proteina serica	proteina serica	ENTIDAD-OBSERVABLE	proteina serica
tromboplastina	tromboplastina	PROTEINAS	tromboplastina
sincope (sintoma)	sincope	SINTOMA	sincope
clavulanato	clavulanato	FARMACO	clavulanato
virico	virico	SPECIES	virico
estreptococo	estreptococo	SPECIES	estreptococo
frotis faringeos	frotis faringeos	PROCEDIMIENTO	frotis faringeos
anosmia aguda	anosmia aguda	ENFERMEDAD	anosmia aguda
cefalea frontal	cefalea frontal	SINTOMA	cefalea frontal
frotis nasofaringeos y orofaringeos	frotis nasofaringeos y orofaringeos	PROCEDIMIENTO	frotis nasofaringeos y orofaringeos
TAC cardiaca	TAC cardiaca	PROCEDIMIENTO	TAC cardiaca
26 anos	26 anos	EDAD-SUJETO-ASISTENCIA	26 anos
12 de enero	12 de enero	FECHAS	12 de enero
vasopresina (farmaco)	vasopresina	FARMACO	vasopresina
disnea de esfuerzo	disnea de esfuerzo	SINTOMA	disnea de esfuerzo
aumento de los crepitantes pulmonares	aumento de los crepitantes pulmonares	SINTOMA	aumento de los crepitantes pulmonares
administro abipenem	administro abipenem	PROCEDIMIENTO	administro abipenem
salino	salino	FARMACO	salino
bilirrubina total	bilirrubina total	ENTIDAD-OBSERVABLE	bilirrubina total
virus influenza	virus influenza	SPECIES	virus influenza
encefalopatia	encefalopatia	ENFERMEDAD	encefalopatia
solucion salina	solucion salina	FARMACO	solucion salina
sensacion distermica	sensacion distermica	SINTOMA	sensacion distermica
daegu	daegu	TERRITORIO	daegu
coagulopatia	coagulopatia	ENFERMEDAD	coagulopatia
piperacilinatazobactam	piperacilinatazobactam	FARMACO	piperacilinatazobactam
il6	il6	PROTEINAS	il6
aspirado traqueal	aspirado traqueal	PROCEDIMIENTO	aspirado traqueal
15 de abril de 2020	15 de abril de 2020	FECHAS	15 de abril de 2020
neumonia atipica	neumonia atipica	ENFERMEDAD	neumonia atipica
cambios en su frecuencia de orina y defecaciones	cambios en su frecuencia de orina y defecaciones	SINTOMA	cambios en su frecuencia de orina y defecaciones
disminucion de los marcadores inflamatorios	disminucion de los marcadores inflamatorios	SINTOMA	disminucion de los marcadores inflamatorios
moxifloxacino (proteinas)	moxifloxacino	PROTEINAS	moxifloxacino
italia	italia	PAIS	italia
aminotransferasa (proteinas)	aminotransferasa	PROTEINAS	aminotransferasa
ampicilinaacido clavulanico	ampicilinaacido clavulanico	FARMACO	ampicilinaacido clavulanico
RMN cerebral y de los huesos temporales	RMN cerebral y de los huesos temporales	PROCEDIMIENTO	RMN cerebral y de los huesos temporales
frecuencia cardiaca	frecuencia cardiaca	ENTIDAD-OBSERVABLE	frecuencia cardiaca
vinc	vinc	ENFERMEDAD	vinc
insomnio (sintoma)	insomnio	SINTOMA	insomnio
cateter venoso en la vena yugular derecha	cateter venoso en la vena yugular derecha	PROCEDIMIENTO	cateter venoso en la vena yugular derecha
meronepem	meronepem	FARMACO	meronepem
eltrombopag	eltrombopag	FARMACO	eltrombopag
meropenem	meropenem	FARMACO	meropenem
TAC craneal	TAC craneal	PROCEDIMIENTO	TAC craneal
panel de patogenos respiratorios	panel de patogenos respiratorios	PROCEDIMIENTO	panel de patogenos respiratorios
afasia anomica (enfermedad)	afasia anomica	ENFERMEDAD	afasia anomica
4 de febrero	4 de febrero	FECHAS	4 de febrero
insuficiencia respiratoria	insuficiencia respiratoria	ENFERMEDAD	insuficiencia respiratoria
hemocultivos hubo crecimiento de enterococcus faecium resistente a vancomicna y staphylococcus epidermidis	hemocultivos hubo crecimiento de enterococcus faecium resistente a vancomicna y staphylococcus epidermidis	ENFERMEDAD	hemocultivos hubo crecimiento de enterococcus faecium resistente a vancomicna y staphylococcus epidermidis
troponina (proteinas)	troponina	PROTEINAS	troponina
RMN craneal	RMN craneal	PROCEDIMIENTO	RMN craneal
prueba de frotis nasofaringeo	prueba de frotis nasofaringeo	PROCEDIMIENTO	prueba de frotis nasofaringeo
8 de marzo	8 de marzo	FECHAS	8 de marzo
biopsias de los pulmones	biopsias de los pulmones	PROCEDIMIENTO	biopsias de los pulmones
ERC	ERC	ENFERMEDAD	ERC
virus de la inmunodeficiencia humana	virus de la inmunodeficiencia humana	SPECIES	virus de la inmunodeficiencia humana
32 anos	32 anos	EDAD-SUJETO-ASISTENCIA	32 anos
derrame pleural bilateral	derrame pleural bilateral	ENFERMEDAD	derrame pleural bilateral
carcinoma de celulas escamosas hipofaringeo	carcinoma de celulas escamosas hipofaringeo	ENFERMEDAD	carcinoma de celulas escamosas hipofaringeo
wuhan	wuhan	TERRITORIO	wuhan
radiografia toracica anteroposterior	radiografia toracica anteroposterior	PROCEDIMIENTO	radiografia toracica anteroposterior
C3	C3	PROTEINAS	C3
