span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
radiografia toracica	PROCEDIMIENTO	80	40.0	115	radiografía torácico			radiografía torácica	radiografía torácica	32360439-B_ES, 32633439_ES, 32320556_ES, 32622819A_ES, 32222713_ES, 32427645_ES, 32267502_ES, 32196627_ES, 32363351_ES, 32265235_ES, 32267461_ES, 32612465A_ES, 32619798_ES, 32266524_ES, 32648092B_ES, 32593478_ES, 32637327A_ES, 32363217_ES, 32557532_ES, 32606105_ES, 32637327B_ES, 32618794_ES, 32586778_ES, 32353183-B_ES, 32590725_ES, 32427161_ES, 32563170_ES, 32073161_ES, 32553608­B_ES, 32423738_ES, 32639064_ES, 32620682_ES, 32418288_ES, 32636116_ES, 32602267_ES, 32640066_ES, 32267140_ES, 32617903B_ES, 32399449-B_ES, 32584431_ES, 32282027_ES, 32363336-B_ES, 32292054_ES, 32644205_ES, 32353183_ES, 32278585_ES, 32554811_ES, 32612465B_ES, 32245909_ES, 32317275_ES, 32292915_ES, 32292867_ES, 32417987_ES, 32648092A_ES, 32399451_ES, 32609542_ES, 32282312_ES, 32617223_ES, 32363336_ES, 32415334_ES, 32427774_ES, 32623310_ES, 32282871_B_ES, 32607304_Es, 32423911_ES, 32637086A_ES, 32612465C_ES, 32648092C_ES, 32637437­_ES, 32637086B_ES, 32605766_ES, 32612465D_ES, 32594429_ES, 32250095_ES, 32360384_ES, 32205138_ES, 32637266B_ES, 32637266A_ES, 32427774-B_ES, 32426200_ES
TAC toracica	PROCEDIMIENTO	68	34.0	97	TAC torácico			TAC torácica	TAC torácica	32622819B_ES, 32292053_ES, 32588185_ES, 32238024_ES, 32607564_ES, 32201125_ES, 32623310_ES, 32359804_ES, 32638347C_ES, 32622819A_ES, 32174057_ES, 32269194_ES, 32165205_ES, 32427161_ES, 32423911_ES, 32119083_ES, 32085846_ES, 32222713_ES, 32611761B_ES, 32283294_ES, 32207255_ES, 32247016_ES, 32589931_ES, 32588475_ES, 32401344_ES, 32246917_ES, 32267502_ES, 32215898_ES, 32414534_ES, 32651243_ES, 32245909_ES, 32198834_ES, 32276139_C_ES, 32637086B_ES, 32399449_ES, 32360439_ES, 32293714_ES, 32208010_ES, 32267461_ES, 32612435_ES, 32282871_ES, 32638347A_ES, 32294340_ES, 32556106_ES, 32602267_ES, 32292904_ES, 32179908_ES, 32601756_ES, 32412848_ES, 32276139_B_ES, 32637327A_ES, 32360384_ES, 32638347B_ES, 32635747_ES, 32586752_ES, 32615155_ES, 32352486_ES, 32359711_ES, 32247642_ES, 32615807A_ES, 32584431_ES, 32426200_ES, 32611659_ES, 32637327B_ES, 32275347_ES, 32282027_ES, 32590204_ES, 32161941_ES
frotis nasofaringeo	PROCEDIMIENTO	66	33.0	78	frotis nasofaríngeo			frotis nasofaríngeo	frotis nasofaríngeo	32644205_ES, 32415334_ES, 32611659_ES, 32622819B_ES, 32633439_ES, 32588185_ES, 32614251_ES, 32623310_ES, 32611761A_ES, 32622819A_ES, 32607304_Es, 32611761B_ES, 32247016_ES, 32427645_ES, 32554423_ES, 32563170_ES, 32586958_ES, 32588475_ES, 32414534_ES, 32637086A_ES, 32612465B_ES, 32554621_ES, 32612465C_ES, 32198834_ES, 32585767_ES, 32639064_ES, 32276139_C_ES, 32317275_ES, 32637086B_ES, 32418288_ES, 32586676_ES, 32399449_ES, 32352487_ES, 32612465D_ES, 32605766_ES, 32267461_ES, 32612435_ES, 32636116_ES, 32653906_ES, 32612465A_ES, 32606044_ES, 32609542_ES, 32179908_ES, 32601756_ES, 32593478_ES, 32412848_ES, 32267140_ES, 32637327A_ES, 32250095_ES, 32638347B_ES, 32205138_ES, 32593338_ES, 32399449-B_ES, 32637266B_ES, 32363217_ES, 32557532_ES, 32352486_ES, 32637266A_ES, 32584431_ES, 32426200_ES, 32554425_ES, 32637327B_ES, 32618794_ES, 32275347_ES, 32282027_ES, 32292054_ES
oxigenoterapia	PROCEDIMIENTO	45	22.5	62	oxigenoterapia	57485005	C0184633	oxigenoterapia	oxigenoterapia	32363336_ES, 32644205_ES, 32415334_ES, 32292053_ES, 32318729_ES, 32320556_ES, 32607564_ES, 32623310_ES, 32638347C_ES, 32282871_B_ES, 32607304_Es, 32085846_ES, 32207255_ES, 32283294_ES, 32592761_ES, 32196627_ES, 32073161_ES, 32423738_ES, 32364123_ES, 32292915_ES, 32399449_ES, 32277408_ES, 32293714_ES, 32292867_ES, 32638347A_ES, 32631838_ES, 32399950_ES, 32609542_ES, 32602267_ES, 32648092B_ES, 32179908_ES, 32593478_ES, 32586958_ES, 32412848_ES, 32267140_ES, 32617903B_ES, 32399449-B_ES, 32282312_ES, 32615155_ES, 32606105_ES, 32426200_ES, 32554425_ES, 32618794_ES, 32292054_ES, 32161941_ES
rtpcr	PROCEDIMIENTO	42	21.0	51	rtpcr			RT-PCR	rtpcr	32588185_ES, 32238024_ES, 32614251_ES, 32320556_ES, 32607564_ES, 32201125_ES, 32623310_ES, 32638347C_ES, 32174057_ES, 32165205_ES, 32085846_ES, 32278585_ES, 32267483_ES, 32247016_ES, 32414534_ES, 32215898_ES, 32637086A_ES, 32073161_ES, 32198834_ES, 32232784_ES, 32418288_ES, 32637086B_ES, 32352487_ES, 32208010_ES, 32267461_ES, 32638347A_ES, 32631838_ES, 32609542_ES, 32266524_ES, 32593478_ES, 32267140_ES, 32360384_ES, 32638347B_ES, 32637266B_ES, 32363217_ES, 32615155_ES, 32294258_ES, 32352486_ES, 32637266A_ES, 32611659_ES, 32637327B_ES, 32590204_ES
exploracion fisica	PROCEDIMIENTO	43	21.5	51	exploración físico			exploración física	exploración física	32415334_ES, 32168162_ES, 32292053_ES, 32360439-B_ES, 32238024_ES, 32318729_ES, 32617169_ES, 32201125_ES, 32282871_B_ES, 32269194_ES, 32119083_ES, 32607304_Es, 32283294_ES, 32602610_ES, 32427645_ES, 32589931_ES, 32267502_ES, 32428291_ES, 32363351_ES, 32198834_ES, 32232784_ES, 32637437­_ES, 32399449_ES, 32553608­_A_ES, 32352487_ES, 32292867_ES, 32612435_ES, 32562891_ES, 32636116_ES, 32402687_ES, 32292904_ES, 32631646_ES, 32179908_ES, 32586958_ES, 32250095_ES, 32360384_ES, 32282312_ES, 32363217_ES, 32587121_ES, 32360439-C_ES, 3229222_ES, 32292054_ES, 32402687-B_ES
TAC	PROCEDIMIENTO	33	16.5	51	TAC			TAC	TAC	32415334_ES, 32360439-B_ES, 32607564_ES, 32611761A_ES, 32638347C_ES, 32583150B_ES, 32353183_ES, 32276139_ES, 32174057_ES, 32119083_ES, 32638890_ES, 32207255_ES, 32563170_ES, 32583150A_ES, 32425356_ES, 32637086A_ES, 32215898_ES, 32399450_ES, 32648092C_ES, 32620682_ES, 32424482_ES, 32208010_ES, 32638347A_ES, 32606044_ES, 32631838_ES, 32639461_ES, 32399449-B_ES, 32428291-B_ES, 32426200_ES, 32554425_ES, 32554423_ES, 32653960_ES, 32402687-B_ES
analisis de sangre	PROCEDIMIENTO	35	17.5	39	análisis de sangre			análisis de sangre	análisis de sangre	32644205_ES, 32622819B_ES, 32292053_ES, 32360439-B_ES, 32588185_ES, 32320556_ES, 32359804_ES, 32586778_ES, 32276139_ES, 32427645_ES, 32563170_ES, 32401344_ES, 32425356_ES, 32423738_ES, 32351657_ES, 32639064_ES, 32620682_ES, 32317275_ES, 32418288_ES, 32399449_ES, 32360439_ES, 32293714_ES, 32594429_ES, 32653906_ES, 32399950_ES, 32399451_ES, 32602267_ES, 32601756_ES, 32639089_ES, 32615155_ES, 32294258_ES, 32352486_ES, 32587121_ES, 32554425_ES, 32161941_ES
ecocardiograma	PROCEDIMIENTO	22	11.0	31	ecocardiograma	241496002	C0412564	ecocardiograma	ecocardiograma	32363336_ES, 32607304_Es, 32554811_ES, 32650881_ES, 32622823_ES, 32423738_ES, 32363351_ES, 32637086B_ES, 32616174_ES, 32636116_ES, 32402687_ES, 32556106_ES, 32640066_ES, 32617903B_ES, 32360384_ES, 32639461_ES, 32399449-B_ES, 32635747_ES, 32426200_ES, 3229222_ES, 32363336-B_ES, 32402687-B_ES
hemocultivos	PROCEDIMIENTO	23	11.5	27	hemocultivo	30088009	C0200949	hemocultivos	hemocultivos	32622819B_ES, 32360439-B_ES, 32318729_ES, 32607564_ES, 32623310_ES, 32622819A_ES, 32638890_ES, 32222713_ES, 32427645_ES, 32196627_ES, 32423738_ES, 32637437­_ES, 32277408_ES, 32360439_ES, 32292867_ES, 32602267_ES, 32267140_ES, 32250095_ES, 32639461_ES, 32586752_ES, 32617223_ES, 32584431_ES, 32606105_ES
ECG	PROCEDIMIENTO	20	10.0	26	ECG			ECG	ECG	32363336_ES, 32607304_Es, 32423911_ES, 32267502_ES, 32363351_ES, 32399449_ES, 32360439_ES, 32417987_ES, 32556106_ES, 32360439-D_ES, 32615807C_ES, 32399449-B_ES, 32637266B_ES, 32593338_ES, 32635747_ES, 32617223_ES, 32615807A_ES, 32584431_ES, 32611659_ES, 32615807B_ES
RMN	PROCEDIMIENTO	17	8.5	25	RMN			RMN	RMN	32644205_ES, 32360439-D_ES, 32617903B_ES, 32601756_ES, 32605766_ES, 32586958_ES, 32592761_ES, 32586752_ES, 32593338_ES, 32554425_ES, 32651243_ES, 32653906_ES, 32583150B_ES, 32399694­­_ES, 32282027_ES, 32589794_ES, 32418288_ES
ventilacion mecanica	PROCEDIMIENTO	22	11.0	24	ventilación mecánico			ventilación mecánica	ventilación mecánica	32360439-B_ES, 32320556_ES, 32607564_ES, 32590725_ES, 32607304_Es, 32650881_ES, 32619736_ES, 32622823_ES, 32651243_ES, 32612465B_ES, 32617903A_ES, 32612465C_ES, 32637437­_ES, 32589794_ES, 32612465D_ES, 32619798_ES, 32631838_ES, 32360384_ES, 32639461_ES, 32363217_ES, 32247642_ES, 32399694­­_ES
electrocardiograma	PROCEDIMIENTO	21	10.5	23	electrocardiograma	29303009	C1623258	electrocardiograma	electrocardiograma	32363336_ES, 32353183_ES, 32586778_ES, 32353183-B_ES, 32607304_Es, 3229222_ES, 32427645_ES, 32650881_ES, 32423738_ES, 32363351_ES, 32399449_ES, 32277408_ES, 32360439_ES, 32636116_ES, 32402687_ES, 32360384_ES, 32593338_ES, 32637266A_ES, 32584431_ES, 32282027_ES, 32402687-B_ES
frotis nasofaringeos	PROCEDIMIENTO	19	9.5	20	frotis nasofaríngeo			frotis nasofaríngeos	frotis nasofaríngeos	32415334_ES, 32588185_ES, 32614251_ES, 32276139_ES, 32165205_ES, 32427161_ES, 32073161_ES, 32554621_ES, 32245909_ES, 32276139_C_ES, 32277408_ES, 32417987_ES, 32556106_ES, 32601756_ES, 32267140_ES, 32276139_B_ES, 32205138_ES, 32593338_ES, 32615155_ES
