span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
proteina creactiva	PROTEINAS	105	52.5	143	proteína creactiva			proteína C-reactiva	proteína creactiva	32638347C_ES, 32622819A_ES, 32294273_ES, 32427645_ES, 32267502_ES, 32215898_ES, 32265235_ES, 32267461_ES, 32282871_ES, 32612465A_ES, 32402687_ES, 32266524_ES, 32648092B_ES, 32363217_ES, 32294258_ES, 32606105_ES, 32618794_ES, 32594151_ES, 32622819B_ES, 32165205_ES, 32638890_ES, 32427161_ES, 32032497_ES, 32247016_ES, 32651243_ES, 32073161_ES, 32553608­B_ES, 32423738_ES, 32639064_ES, 32554621_ES, 32276139_C_ES, 32418288_ES, 32293714_ES, 32636116_ES, 32638347A_ES, 32602267_ES, 32292904_ES, 32640066_ES, 32267140_ES, 32276139_B_ES, 32639461_ES, 32586752_ES, 32635747_ES, 32615155_ES, 32247642_ES, 32584431_ES, 32554425_ES, 32275347_ES, 32363336-B_ES, 32644205_ES, 32617169_ES, 32119083_ES, 32278585_ES, 32554811_ES, 32329981_ES, 32589931_ES, 32588475_ES, 32612465B_ES, 32351657_ES, 32245909_ES, 32292915_ES, 32553608­_A_ES, 32208010_ES, 32417987_ES, 32648092A_ES, 32399451_ES, 32601756_ES, 32282312_ES, 32359711_ES, 32587121_ES, 32402687-B_ES, 32168162_ES, 32588185_ES, 32318729_ES, 32201125_ES, 32623310_ES, 32282871_B_ES, 32423911_ES, 32650881_ES, 32425356_ES, 32414534_ES, 32637086A_ES, 32612465C_ES, 32198834_ES, 32648092C_ES, 32232784_ES, 32637086B_ES, 32605766_ES, 32352487_ES, 32612465D_ES, 32360439_ES, 32594429_ES, 32653906_ES, 32294340_ES, 32606044_ES, 32556106_ES, 32179908_ES, 32250095_ES, 32638347B_ES, 32593338_ES, 32611659_ES, 32360439-C_ES, 32653960_ES, 32590204_ES, 32161941_ES
PCR	PROTEINAS	58	29.0	73	PCR			PCR	PCR	32363336_ES, 32644205_ES, 32415334_ES, 32622819B_ES, 32238024_ES, 32614251_ES, 32638347C_ES, 32622819A_ES, 32269194_ES, 32294273_ES, 32427161_ES, 32207255_ES, 32611761B_ES, 32554811_ES, 32653210_ES, 32427645_ES, 32651243_ES, 32425356_ES, 32414534_ES, 32637086A_ES, 32612465B_ES, 32423738_ES, 32612465C_ES, 32402416­_ES, 32639064_ES, 32364123_ES, 32637086B_ES, 32418288_ES, 32553608­_A_ES, 32352487_ES, 32612465D_ES, 32360439_ES, 32605766_ES, 32594429_ES, 32636116_ES, 32417987_ES, 32638347A_ES, 32402687_ES, 32631838_ES, 32641443_ES, 32266524_ES, 32179908_ES, 32640066_ES, 32601756_ES, 32593478_ES, 32637327A_ES, 32205138_ES, 32637266B_ES, 32363217_ES, 32294258_ES, 32352486_ES, 32359711_ES, 32637266A_ES, 32247642_ES, 32584431_ES, 32399694­­_ES, 3229222_ES, 32402687-B_ES
rtpcr	PROTEINAS	36	18.0	42	rtpcr			RT-PCR	rtpcr	32594151_ES, 32238024_ES, 32318729_ES, 32320556_ES, 32607564_ES, 32201125_ES, 32623310_ES, 32359804_ES, 32638347C_ES, 32165205_ES, 32119083_ES, 32607304_Es, 32329981_ES, 32246917_ES, 32215898_ES, 32073161_ES, 32639064_ES, 32620682_ES, 32317275_ES, 32292915_ES, 32641443_ES, 32609542_ES, 32266524_ES, 32179908_ES, 32640066_ES, 32586958_ES, 32360384_ES, 32638347B_ES, 32635747_ES, 32363217_ES, 32615155_ES, 32352486_ES, 32611659_ES, 32554423_ES, 32275347_ES, 32590204_ES
ferritina	PROTEINAS	27	13.5	33	ferritina	32789000	C0015879	ferritina	ferritina	32633439_ES, 32586778_ES, 32427161_ES, 32554811_ES, 32427645_ES, 32588475_ES, 32651243_ES, 32637086A_ES, 32612465B_ES, 32637437­_ES, 32418288_ES, 32637086B_ES, 32399449_ES, 32636116_ES, 32402687_ES, 32648092A_ES, 32602267_ES, 32648092B_ES, 32637327A_ES, 32615155_ES, 32587121_ES, 32611659_ES, 32618794_ES, 32653960_ES, 32363336-B_ES, 32590204_ES, 32402687-B_ES
troponina	PROTEINAS	14	7.0	23	troponina	102680009	C0041199	troponina	troponina	32554811_ES, 32399449_ES, 32329981_ES, 32363336_ES, 32637327A_ES, 32635747_ES, 32593338_ES, 32650881_ES, 32637086A_ES, 32586778_ES, 32363351_ES, 32618794_ES, 32607304_Es, 32637086B_ES
IgG	PROTEINAS	16	8.0	23	igg			IgG	IgG	32640066_ES, 32601756_ES, 32589314_ES, 32415334_ES, 32276139_B_ES, 32292053_ES, 32639461_ES, 32651243_ES, 32623310_ES, 32653906_ES, 32556106_ES, 32276139_ES, 32399451_ES, 32585767_ES, 32427161_ES, 32276139_C_ES
linfocitopenia	PROTEINAS	21	10.5	22	linfocitopenia	48813009	C0024312, C0300946	linfocitopenia	linfocitopenia	32644205_ES, 32588185_ES, 32623310_ES, 32353183-B_ES, 32165205_ES, 32427161_ES, 32427645_ES, 32425356_ES, 32423738_ES, 32351657_ES, 32208010_ES, 32417987_ES, 32638347A_ES, 32648092B_ES, 32640066_ES, 32250095_ES, 32638347B_ES, 32587121_ES, 32360439-C_ES, 32275347_ES, 32161941_ES
hemoglobina	PROTEINAS	18	9.0	22	hemoglobina	38082009	C0019046	hemoglobina	hemoglobina	32594151_ES, 32611659_ES, 32292053_ES, 32276139_B_ES, 32318729_ES, 32615155_ES, 32401344_ES, 32622823_ES, 32294340_ES, 32554621_ES, 32584431_ES, 32276139_ES, 32198834_ES, 32587121_ES, 32245909_ES, 32423911_ES, 32292054_ES, 32179908_ES
procalcitonina	PROTEINAS	18	9.0	21	procalcitonina	418752001	C0072027	procalcitonina	procalcitonina	32594151_ES, 32198834_ES, 32640066_ES, 32267140_ES, 32292053_ES, 32605766_ES, 32329981_ES, 32222713_ES, 32363336_ES, 32215898_ES, 32119083_ES, 32606105_ES, 32587121_ES, 32611659_ES, 32292904_ES, 32602267_ES, 32363336-B_ES, 32399451_ES
inmunoglobulina	PROTEINAS	17	8.5	21	inmunoglobulina	112133008	C0021027	inmunoglobulina	inmunoglobulina	32640066_ES, 32277408_ES, 32412848_ES, 32292053_ES, 32639461_ES, 32588185_ES, 32586958_ES, 32636116_ES, 32359804_ES, 32246917_ES, 32282871_ES, 32653906_ES, 32294340_ES, 32399950_ES, 32364123_ES, 32265235_ES, 32179908_ES
fibrinogeno	PROTEINAS	19	9.5	21	fibrinógeno			fibrinógeno	fibrinógeno	32427774_ES, 32589931_ES, 32651243_ES, 32073161_ES, 32553608­B_ES, 32648092C_ES, 32276139_C_ES, 32418288_ES, 32399449_ES, 32636116_ES, 32294340_ES, 32648092A_ES, 32556106_ES, 32648092B_ES, 32639461_ES, 32615155_ES, 32294258_ES, 32427774-B_ES, 32584431_ES
lactatodeshidrogenasa	PROTEINAS	19	9.5	19	lácticodeshidrogenasa	259319003	C0022917	lactato-deshidrogenasa	lactatodeshidrogenasa	32594151_ES, 32633439_ES, 32617169_ES, 32622819A_ES, 32586778_ES, 32119083_ES, 32329981_ES, 32414534_ES, 32637437­_ES, 32553608­_A_ES, 32612465D_ES, 32618794_ES, 32399451_ES, 32267140_ES, 32593338_ES, 32584431_ES, 32606105_ES, 32611659_ES, 32360439-C_ES
interleucina 6	PROTEINAS	15	7.5	18	interleucina 6	30965005	C0021760	interleucina 6	interleucina 6	32277408_ES, 32168162_ES, 32427645_ES, 32633439_ES, 32588185_ES, 32636116_ES, 32418288_ES, 32402687_ES, 32586778_ES, 32587121_ES, 32554621_ES, 32427161_ES, 32602267_ES, 32278585_ES, 32402687-B_ES
il6	PROTEINAS	13	6.5	17	il6			IL-6	il6	32363336_ES, 32427645_ES, 32276139_B_ES, 32418288_ES, 32583150A_ES, 32638347C_ES, 32402687_ES, 32648092A_ES, 32583150B_ES, 32618794_ES, 32648092B_ES, 32292915_ES, 32402687-B_ES
IgM	PROTEINAS	11	5.5	16	igm			IgM	IgM	32640066_ES, 32601756_ES, 32589314_ES, 32415334_ES, 32276139_B_ES, 32292053_ES, 32623310_ES, 32276139_ES, 32399451_ES, 32585767_ES, 32276139_C_ES
proteinas	PROTEINAS	12	6.0	14	proteína			proteínas	proteínas	32601756_ES, 32605766_ES, 32588185_ES, 32586752_ES, 32589931_ES, 32563170_ES, 32246917_ES, 32399950_ES, 32585767_ES, 32399694­­_ES, 32589794_ES, 32590204_ES
tromboplastina	PROTEINAS	10	5.0	11	tromboplastina	387124009	C0040048	tromboplastina	tromboplastina	32399449_ES, 32401344_ES, 32623310_ES, 32353183_ES, 32294340_ES, 32402687_ES, 32266524_ES, 32427161_ES, 32179908_ES, 32402687-B_ES
creatinacinasa	PROTEINAS	9	4.5	11	creatinacinasa	75828004	C0010287	creatina-cinasa	creatinacinasa	32605766_ES, 32588185_ES, 32635747_ES, 32622823_ES, 32414534_ES, 32215898_ES, 32586778_ES, 32607304_Es, 32161941_ES
protrombina	PROTEINAS	10	5.0	10	protrombina	7348004	C0033706	protrombina	protrombina	32635747_ES, 32401344_ES, 32623310_ES, 32353183_ES, 32294340_ES, 32402687_ES, 32266524_ES, 32427161_ES, 32179908_ES, 32402687-B_ES
aspartatoaminotransferasa	PROTEINAS	11	5.5	10	aspartatoaminotransferasa	26091008	C0004002	aspartato-aminotransferasa	aspartatoaminotransferasa	32363336_ES, 32329981_ES, 32586752_ES, 32617169_ES, 32414534_ES, 32611659_ES, 32427161_ES, 32637437­_ES, 32292054_ES, 32032497_ES, 32161941_ES
LDH	PROTEINAS	10	5.0	10	LDH			LDH	LDH	32622819B_ES, 32588185_ES, 32635747_ES, 32607564_ES, 32196627_ES, 32215898_ES, 32648092A_ES, 32553608­B_ES, 32119083_ES, 32631646_ES
albumina	PROTEINAS	8	4.0	9	albúmina			albúmina	albúmina	32412848_ES, 32276139_B_ES, 32622823_ES, 32651243_ES, 32215898_ES, 32611659_ES, 32637437­_ES, 32265235_ES
troponina I	PROTEINAS	7	3.5	8	troponina I			troponina I	troponina I	32277408_ES, 32639461_ES, 32615807C_ES, 32615807B_ES, 32556106_ES, 32282027_ES, 32179908_ES
inmunoglobulinas	PROTEINAS	8	4.0	8	inmunoglobulina	112133008	C0021027	inmunoglobulinas	inmunoglobulinas	32640066_ES, 32601756_ES, 32427645_ES, 32615155_ES, 32651243_ES, 32399950_ES, 32399694­­_ES, 32589794_ES
anticuerpos antinucleares	PROTEINAS	8	4.0	8	anticuerpo antinuclear	79404001, 359788000	C0587178, C0587178	anticuerpos antinucleares	anticuerpos antinucleares	32622819B_ES, 32292867_ES, 32639461_ES, 32635747_ES, 32617169_ES, 32294340_ES, 32622819A_ES, 32427161_ES
alaninaaminotransferasa	PROTEINAS	8	4.0	8	alaninaaminotransferasa	56935002	C0001899	alanina-aminotransferasa	alaninaaminotransferasa	32363336_ES, 32277408_ES, 32329981_ES, 32414534_ES, 32423911_ES, 32637437­_ES, 32292054_ES, 32032497_ES
C3	PROTEINAS	6	3.0	8	C3			C3	C3	32622819B_ES, 32292867_ES, 32292053_ES, 32639461_ES, 32585767_ES, 32427161_ES
polimerasa	PROTEINAS	7	3.5	7	polimerasa	59924006	C0032401	polimerasa	polimerasa	32640066_ES, 32586958_ES, 32360439_ES, 32363217_ES, 32425356_ES, 32639064_ES, 3229222_ES
dimero D	PROTEINAS	7	3.5	7	dímero D			dímero D	dímero D	32588475_ES, 32119083_ES, 32423738_ES, 32553608­B_ES, 32648092C_ES, 32648092B_ES, 32418288_ES
C4	PROTEINAS	5	2.5	7	C4			C4	C4	32622819B_ES, 32292867_ES, 32292053_ES, 32639461_ES, 32427161_ES
troponina T	PROTEINAS	5	2.5	5	troponina T			troponina T	troponina T	32650881_ES, 32267502_ES, 32584431_ES, 32353183-B_ES, 32427161_ES
prohormona nterminal	PROTEINAS	5	2.5	5	prohormona nterminal			prohormona N-terminal	prohormona nterminal	32650881_ES, 32586778_ES, 32119083_ES, 32607304_Es, 32282027_ES
enzimas hepaticas	PROTEINAS	5	2.5	5	enzima hepático			enzimas hepáticas	enzimas hepáticas	32238024_ES, 32622823_ES, 32653906_ES, 32427161_ES, 32292054_ES
CD4	PROTEINAS	3	1.5	5	CD4			CD4	CD4	32412848_ES, 32607564_ES, 32247642_ES
proteina	PROTEINAS	4	2.0	4	proteína			proteína	proteína	32283294_ES, 32318729_ES, 32635747_ES, 32168162_ES
leucocitopenia	PROTEINAS	4	2.0	4	leucocitopenia			leucocitopenia	leucocitopenia	32601756_ES, 32427645_ES, 32032497_ES, 32639064_ES
interferon 1b	PROTEINAS	3	1.5	4	interferón α1b			interferón α-1b	interferón α1b	32277408_ES, 32179908_ES, 32161941_ES
interferon	PROTEINAS	4	2.0	4	interferón			interferón	interferón	32276139_C_ES, 32276139_B_ES, 32292053_ES, 32276139_ES
insulina	PROTEINAS	4	2.0	4	insulina	67866001	C0021641	insulina	insulina	32638347A_ES, 32637266A_ES, 32653960_ES, 32635747_ES
IgA	PROTEINAS	4	2.0	4	iga			IgA	IgA	32292053_ES, 32639461_ES, 32222713_ES, 32198834_ES
AST	PROTEINAS	4	2.0	4	AST			AST	AST	32363336_ES, 32417987_ES, 32653960_ES, 32363336-B_ES
ALT	PROTEINAS	4	2.0	4	ALT			ALT	ALT	32363336_ES, 32417987_ES, 32653960_ES, 32363336-B_ES
transaminasas	PROTEINAS	3	1.5	3	transaminasa	124393002	C1152208	transaminasas	transaminasas	32414534_ES, 32593478_ES, 32198834_ES
tocilizumab	PROTEINAS	3	1.5	3	tocilizumab	444648007	C1609165	tocilizumab	tocilizumab	32618794_ES, 32247642_ES, 32278585_ES
seroalbumina	PROTEINAS	2	1.0	3	seroalbúmina			seroalbúmina	seroalbúmina	32119083_ES, 32168162_ES
probnp	PROTEINAS	3	1.5	3	probnp			proBNP	probnp	32119083_ES, 3229222_ES, 32267502_ES
mioglobina	PROTEINAS	3	1.5	3	mioglobina	82693003	C0027078	mioglobina	mioglobina	32650881_ES, 32277408_ES, 32587121_ES
infliximab	PROTEINAS	2	1.0	3	infliximab	386891004	C0666743	infliximab	infliximab	32554621_ES, 32294258_ES
