span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
virus	SPECIES	46	23.0	75	virus	49872002	C0042776	virus	virus	32594151_ES, 32415334_ES, 32622819B_ES, 32292053_ES, 32360439-B_ES, 32633439_ES, 32614251_ES, 32318729_ES, 32607564_ES, 32622819A_ES, 32276139_ES, 32119083_ES, 32207255_ES, 32427645_ES, 32563170_ES, 32650881_ES, 32651243_ES, 32196627_ES, 32414534_ES, 32073161_ES, 32198834_ES, 32589314_ES, 32418288_ES, 32277408_ES, 32360439_ES, 32594429_ES, 32636116_ES, 32653906_ES, 32399451_ES, 32556106_ES, 32601756_ES, 32586958_ES, 32267140_ES, 32360384_ES, 32205138_ES, 32593338_ES, 32352486_ES, 32584431_ES, 32587121_ES, 32611659_ES, 32606105_ES, 32554423_ES, 3229222_ES, 32292054_ES, 32590204_ES, 32161941_ES
hombre	SPECIES	67	33.5	67	hombre	30996001, 339947000	C0025266, C0043210, C0086418	hombre	hombre	32415334_ES, 32168162_ES, 32611659_ES, 32607564_ES, 32611761A_ES, 32353183_ES, 32586778_ES, 32174057_ES, 32269194_ES, 32638890_ES, 32423911_ES, 32085846_ES, 32032497_ES, 32278585_ES, 32283294_ES, 32222713_ES, 32207255_ES, 32592761_ES, 32589931_ES, 32563170_ES, 32619736_ES, 32622823_ES, 32651243_ES, 32196627_ES, 32215898_ES, 32414534_ES, 32588475_ES, 32399450_ES, 32073161_ES, 32554621_ES, 32198834_ES, 32639064_ES, 32648092C_ES, 32620682_ES, 32317275_ES, 32637086B_ES, 32418288_ES, 32616174_ES, 32277408_ES, 32352487_ES, 32612465D_ES, 32360439_ES, 32605766_ES, 32267461_ES, 32612435_ES, 32562891_ES, 32648092A_ES, 32619798_ES, 32631838_ES, 32609542_ES, 32266524_ES, 32648092B_ES, 32292904_ES, 32593478_ES, 32250095_ES, 32615807C_ES, 32282312_ES, 32205138_ES, 32399449-B_ES, 32637266B_ES, 32586752_ES, 32615155_ES, 32359711_ES, 32617223_ES, 32247642_ES, 32554425_ES, 32399694­­_ES
coronavirus	SPECIES	31	15.5	35	coronavirus	88711001	C0010076, C0206419	coronavirus	coronavirus	32238024_ES, 32617169_ES, 32320556_ES, 32201125_ES, 32623310_ES, 32586778_ES, 32590725_ES, 32269194_ES, 32607304_Es, 32563170_ES, 32650881_ES, 32401344_ES, 32232784_ES, 32317275_ES, 32292915_ES, 32605766_ES, 32636116_ES, 32619798_ES, 32631838_ES, 32609542_ES, 32266524_ES, 32602267_ES, 32631646_ES, 32593478_ES, 32250095_ES, 32639461_ES, 32282312_ES, 32363217_ES, 32359711_ES, 32584431_ES, 32282027_ES
adenovirus	SPECIES	14	7.0	15	adenovirus	17303003	C0001483	adenovirus	adenovirus	32594151_ES, 32640066_ES, 32427645_ES, 32292053_ES, 32650881_ES, 32594429_ES, 32636116_ES, 32207255_ES, 32584431_ES, 32606105_ES, 32554423_ES, 3229222_ES, 32418288_ES, 32161941_ES
citomegalovirus	SPECIES	13	6.5	13	citomegalovirus	16609001, 243578002	C0010825, C0205725, C0206560, C0677047	citomegalovirus	citomegalovirus	32622819B_ES, 32179908_ES, 32586752_ES, 32636116_ES, 32653906_ES, 32554621_ES, 32584431_ES, 32622819A_ES, 32589314_ES, 32554423_ES, 32161941_ES, 32590204_ES, 32399451_ES
mycoplasma pneumoniae	SPECIES	12	6.0	12	micoplasma pneumoniae	58720004	C0026941	Mycoplasma pneumoniae	mycoplasma pneumoniae	32427645_ES, 32588185_ES, 32205138_ES, 32417987_ES, 32588475_ES, 32352486_ES, 32584431_ES, 32276139_ES, 32399451_ES, 32606105_ES, 32207255_ES, 32161941_ES
VIH	SPECIES	12	6.0	12	VIH			VIH	VIH	32622819B_ES, 32352487_ES, 32588185_ES, 32636116_ES, 32607564_ES, 32588475_ES, 32352486_ES, 32653906_ES, 32584431_ES, 32587121_ES, 32556106_ES, 32590204_ES
virico	SPECIES	9	4.5	11	vírico			vírico	vírico	32601756_ES, 32282312_ES, 32363217_ES, 32619736_ES, 32320556_ES, 32073161_ES, 32428291-B_ES, 32276139_C_ES, 32179908_ES
humano	SPECIES	7	3.5	7	humano	338930006	C0086418	humano	humano	32594151_ES, 32277408_ES, 32650881_ES, 32636116_ES, 32073161_ES, 32584431_ES, 32161941_ES
parvovirus B19	SPECIES	6	3.0	6	parvovirus B19			parvovirus B19	parvovirus B19	32427645_ES, 32352487_ES, 32636116_ES, 32584431_ES, 32556106_ES, 32161941_ES
chlamydia pneumoniae	SPECIES	6	3.0	6	chlamydia pneumoniae	121191006	C1291192	Chlamydia pneumoniae	chlamydia pneumoniae	32205138_ES, 32606105_ES, 32276139_ES, 32399451_ES, 32207255_ES, 32161941_ES
bacterias	SPECIES	5	2.5	6	bacteria	413624004	C0004611	bacterias	bacterias	32594151_ES, 32601756_ES, 32619736_ES, 32611659_ES, 32602267_ES
virus de la gripe	SPECIES	5	2.5	5	virus de el gripe	55207002	C0029343, C0029345, C0544213, C0949936	virus de la gripe	virus de la gripe	32427645_ES, 32636116_ES, 32414534_ES, 32584431_ES, 32556106_ES
CMV	SPECIES	4	2.0	5	CMV			CMV	CMV	32556106_ES, 32607564_ES, 32588185_ES, 32399451_ES
virus de la gripe A	SPECIES	4	2.0	4	virus de el gripe A			virus de la gripe A	virus de la gripe A	32554423_ES, 32292053_ES, 32622819A_ES, 32161941_ES
vih1	SPECIES	1	0.5	4	vih1			VIH-1	vih1	32607564_ES
legionella pneumophila	SPECIES	4	2.0	4	legionella pneumophila	80897008	C0023238	Legionella pneumophila	legionella pneumophila	32417987_ES, 32161941_ES, 32588475_ES, 32399451_ES
de coronavirus	SPECIES	4	2.0	4	de coronavirus	88711001	C0010076, C0206419	de coronavirus	de coronavirus	32294264_ES, 32267502_ES, 32179908_ES, 32637086A_ES
virus de la hepatitis B	SPECIES	3	1.5	3	virus de el hepatitis B			virus de la hepatitis B	virus de la hepatitis B	32352487_ES, 32292904_ES, 32611659_ES
staphylococcus aureus	SPECIES	3	1.5	3	staphylococcus aureus	3092008	C0038172	Staphylococcus aureus	staphylococcus aureus	32607564_ES, 32292054_ES, 32622483_ES
hongos	SPECIES	2	1.0	3	hongo			hongos	hongos	32619736_ES, 32611659_ES
de aspergillus	SPECIES	2	1.0	3	de aspergillus	2429008	C0004034	de Aspergillus	de aspergillus	32638890_ES, 32623310_ES
caballo	SPECIES	2	1.0	3	caballo	257531005, 26570006	C0019944, C0019944, C3665359	caballo	caballo	32586958_ES, 32399694­­_ES
bacilos	SPECIES	2	1.0	3	bacilo	50394002	C0004587, C1040746	bacilos	bacilos	32609542_ES, 32611659_ES
virus de la inmunodeficiencia humana	SPECIES	2	1.0	2	virus de el inmunodeficiencia humano	19030005	C0019682	virus de la inmunodeficiencia humana	virus de la inmunodeficiencia humana	32412848_ES, 32282312_ES
virus de la hepatitis C	SPECIES	2	1.0	2	virus de el hepatitis C			virus de la hepatitis C	virus de la hepatitis C	32617169_ES, 32352487_ES
virus de la gripe B	SPECIES	2	1.0	2	virus de el gripe B			virus de la gripe B	virus de la gripe B	32292053_ES, 32161941_ES
treponema pallidum	SPECIES	2	1.0	2	treponema pallidum	72904005	C0040840	Treponema pallidum	treponema pallidum	32622819B_ES, 32584431_ES
toxoplasma gondii	SPECIES	2	1.0	2	toxoplasma gondii	4649006	C0040557	Toxoplasma gondii	toxoplasma gondii	32636116_ES, 32161941_ES
streptococcus pneumoniae	SPECIES	2	1.0	2	streptococcus pneumoniae	9861002	C0038410	Streptococcus pneumoniae	streptococcus pneumoniae	32612465A_ES, 32417987_ES
rickettsia	SPECIES	2	1.0	2	rickettsia	312331000	C0035596	Rickettsia	rickettsia	32622819B_ES, 32161941_ES
pseudomonas aeruginosa	SPECIES	2	1.0	2	pseudomona aeruginosa	52499004	C0033809	Pseudomonas aeruginosa	pseudomonas aeruginosa	32275347_ES, 32607564_ES
pangolines	SPECIES	2	1.0	2	pangolín			pangolines	pangolines	32638347A_ES, 32638347C_ES
mycoplasma	SPECIES	2	1.0	2	micoplasma			Mycoplasma	mycoplasma	32622819A_ES, 32639064_ES
metaneumovirus humano	SPECIES	2	1.0	2	metaneumovirus humano	416730002	C1258014	metaneumovirus humano	metaneumovirus humano	32594429_ES, 32606105_ES
mariposa	SPECIES	1	0.5	2	mariposa	18217007	C0006496	mariposa	mariposa	32174057_ES
fusarium proliferatum	SPECIES	1	0.5	2	fusarium proliferatum	243549003	C0446108	Fusarium proliferatum	fusarium proliferatum	32619736_ES
chlamydia	SPECIES	2	1.0	2	chlamydia			Chlamydia	chlamydia	32622819A_ES, 32639064_ES
S pneumoniae	SPECIES	1	0.5	2	S pneumoniae			S. pneumoniae	S pneumoniae	32602267_ES
P jirovecii	SPECIES	2	1.0	2	P jirovecii			P. jirovecii	P jirovecii	32412848_ES, 32607564_ES
E coli	SPECIES	1	0.5	2	E coli			E. coli	E coli	32617223_ES
virus influenza	SPECIES	1	0.5	1	virus influenza	725894000	C4316910	virus Influenza	virus influenza	3229222_ES
virus de la hepatitis A	SPECIES	1	0.5	1	virus de el hepatitis A			virus de la hepatitis A	virus de la hepatitis A	32584431_ES
virus de la hepatitis	SPECIES	1	0.5	1	virus de el hepatitis	32452004	C0206437, C0376325	virus de la hepatitis	virus de la hepatitis	32636116_ES
virus de coxsackie B	SPECIES	1	0.5	1	virus de coxsackie B			virus de Coxsackie B	virus de coxsackie B	32161941_ES
tabaco	SPECIES	1	0.5	1	tabaco	30795006, 39953003	C0040329, C0331214	tabaco	tabaco	32593478_ES
staphylococcus epidermidis	SPECIES	1	0.5	1	staphylococcus epidermidis	60875001	C0038174	Staphylococcus epidermidis	staphylococcus epidermidis	32607564_ES
rotavirus	SPECIES	1	0.5	1	rotavirus	70614005	C0035870, C1002306	rotavirus	rotavirus	32179908_ES
rinoceronte	SPECIES	1	0.5	1	rinoceronte	12812003	C1265532	rinoceronte	rinoceronte	32593478_ES
rana	SPECIES	1	0.5	1	rana	47843009	C0034650	rana	rana	32590725_ES
pneumocystis jirovecii	SPECIES	1	0.5	1	pneumocystis jirovecii	79909001	C0320385	Pneumocystis jirovecii	pneumocystis jirovecii	32607564_ES
pneumocystis jiroveci	SPECIES	1	0.5	1	pneumocystis jirovecii	79909001	C0320385	Pneumocystis jiroveci	pneumocystis jiroveci	32622819A_ES
legionella	SPECIES	1	0.5	1	legionella			Legionella	legionella	32622819A_ES
klebsiella pneumoniae	SPECIES	1	0.5	1	klebsiella pneumoniae	56415008	C0001699	Klebsiella pneumoniae	klebsiella pneumoniae	32275347_ES
insectos	SPECIES	1	0.5	1	insecto	106763003	C0021585	insectos	insectos	32414534_ES
hepatitis C	SPECIES	1	0.5	1	hepatitis C			hepatitis C	hepatitis C	32292867_ES
estreptococo	SPECIES	1	0.5	1	estreptococo			estreptococo	estreptococo	32320556_ES
escherichia coli	SPECIES	1	0.5	1	escherichia coli	112283007	C0014834	Escherichia coli	escherichia coli	32617223_ES
enterococcus faecium	SPECIES	1	0.5	1	enterococcus faecium	90272000	C0085495	Enterococcus faecium	enterococcus faecium	32607564_ES
de brucella	SPECIES	1	0.5	1	de brucella	708204009	C3872680	de Brucella	de brucella	32590204_ES
criptococo	SPECIES	1	0.5	1	criptococo			criptococo	criptococo	32586752_ES
coronavirus nl63	SPECIES	1	0.5	1	coronavirus nl63	88711001	C0010076, C0206419	coronavirus NL63	coronavirus nl63	32427645_ES
clostridum difficile	SPECIES	1	0.5	1	clostridum difficile			Clostridum difficile	clostridum difficile	32245909_ES
clostridium difficile	SPECIES	1	0.5	1	clostridium difficile	12671002	C0314765	Clostridium difficile	clostridium difficile	32554621_ES
citrobacter koseri	SPECIES	1	0.5	1	citrobacter koseri	114264004	C0315218	Citrobacter koseri	citrobacter koseri	32594151_ES
citrobacter freundii	SPECIES	1	0.5	1	citrobacter freundii	6265002	C0085483	Citrobacter freundii	citrobacter freundii	32179908_ES
candida	SPECIES	1	0.5	1	candida			Candida	candida	32277408_ES
borrelia	SPECIES	1	0.5	1	borrelia			Borrelia	borrelia	32588185_ES
bocavirus	SPECIES	1	0.5	1	bocavirus			bocavirus	bocavirus	32650881_ES
bacteroides ovalus	SPECIES	1	0.5	1	bacteroide ovalus	86936008	C0314923	Bacteroides ovalus	bacteroides ovalus	32277408_ES
animales	SPECIES	1	0.5	1	animal	387961004	C0003062	animales	animales	32238024_ES
acinetobacter	SPECIES	1	0.5	1	acinetobacter	13879009	C0314789	Acinetobacter	acinetobacter	32607564_ES
M tuberculosis	SPECIES	1	0.5	1	M tuberculosis			M. tuberculosis	M tuberculosis	32609542_ES
HIV	SPECIES	1	0.5	1	HIV			HIV	HIV	32292867_ES
C koseri	SPECIES	1	0.5	1	C koseri			C. koseri	C koseri	32594151_ES
B	SPECIES	1	0.5	1	B			B	B	32636116_ES
A	SPECIES	1	0.5	1	A			A	A	32636116_ES
