span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
fiebre	SINTOMA	164	82.0	265	fiebre	248425001, 386661006, 64882008	C0015967, C0015967, C0015967	fiebre	fiebre	32360439-B_ES, 32633439_ES, 32614251_ES, 32320556_ES, 32607564_ES, 32359804_ES, 32638347C_ES, 32174057_ES, 32294273_ES, 32222713_ES, 32602610_ES, 32427645_ES, 32583150A_ES, 32401344_ES, 32196627_ES, 32215898_ES, 32399450_ES, 32363351_ES, 32589794_ES, 32265235_ES, 32586676_ES, 32267461_ES, 32282871_ES, 32612465A_ES, 32402687_ES, 32619798_ES, 32266524_ES, 32648092B_ES, 32593478_ES, 32294264_ES, 32637327A_ES, 32363217_ES, 32557532_ES, 32615807A_ES, 32606105_ES, 32637327B_ES, 32399694­­_ES, 32618794_ES, 32594151_ES, 32622819B_ES, 32586778_ES, 32165205_ES, 32427161_ES, 32085846_ES, 32611761B_ES, 32247016_ES, 32563170_ES, 32619736_ES, 32622823_ES, 32651243_ES, 32073161_ES, 32553608­B_ES, 32423738_ES, 32639064_ES, 32554621_ES, 32276139_C_ES, 32418288_ES, 32399449_ES, 32293714_ES, 32636116_ES, 32638347A_ES, 32399950_ES, 32641443_ES, 32602267_ES, 32292904_ES, 32640066_ES, 32412848_ES, 32276139_B_ES, 32267140_ES, 32615807C_ES, 32617903B_ES, 32399449-B_ES, 32635747_ES, 32586752_ES, 32615155_ES, 32247642_ES, 32584431_ES, 32554425_ES, 32282027_ES, 32363336-B_ES, 32292054_ES, 32644205_ES, 32292053_ES, 32617169_ES, 32353183_ES, 32269194_ES, 32119083_ES, 32329981_ES, 32589931_ES, 32588475_ES, 32622483_ES, 32612465B_ES, 32351657_ES, 32245909_ES, 32317275_ES, 32292915_ES, 32277408_ES, 32292867_ES, 32553608­_A_ES, 32208010_ES, 32417987_ES, 32648092A_ES, 32631838_ES, 32399451_ES, 32609542_ES, 32282312_ES, 32605712_ES, 32352486_ES, 32359711_ES, 32617223_ES, 32587121_ES, 32402687-B_ES, 32363336_ES, 32415334_ES, 32168162_ES, 32588185_ES, 32238024_ES, 32318729_ES, 32427774_ES, 32201125_ES, 32623310_ES, 32276139_ES, 32282871_B_ES, 32607304_Es, 32423911_ES, 32283294_ES, 32267483_ES, 32650881_ES, 32246917_ES, 32414534_ES, 32425356_ES, 32637086A_ES, 32428291_ES, 32612465C_ES, 32198834_ES, 32585767_ES, 32232784_ES, 32637437­_ES, 32637086B_ES, 32605766_ES, 32352487_ES, 32612465D_ES, 32631770_ES, 32360439_ES, 32653906_ES, 32294340_ES, 32606044_ES, 32556106_ES, 32631646_ES, 32179908_ES, 32586958_ES, 32250095_ES, 32360384_ES, 32638347B_ES, 32205138_ES, 32593338_ES, 32637266B_ES, 32427774-B_ES, 32426200_ES, 32611659_ES, 32360439-C_ES, 32653960_ES, 3229222_ES, 32161941_ES
disnea	SINTOMA	91	45.5	127	disnea	267036007, 49233005	C0013404, C0013404, C0553668	disnea	disnea	32633439_ES, 32607564_ES, 32359804_ES, 32174057_ES, 32222713_ES, 32602610_ES, 32267502_ES, 32612465A_ES, 32619798_ES, 32648092B_ES, 32360439-D_ES, 32637327A_ES, 32557532_ES, 32294258_ES, 32637327B_ES, 32618794_ES, 32594151_ES, 32586778_ES, 32353183-B_ES, 32427161_ES, 32085846_ES, 32247016_ES, 32617903A_ES, 32073161_ES, 32554621_ES, 32620682_ES, 32399449_ES, 32602267_ES, 32292904_ES, 32412848_ES, 32276139_B_ES, 32267140_ES, 32615807C_ES, 32617903B_ES, 32635747_ES, 32615155_ES, 32275347_ES, 32282027_ES, 32615807B_ES, 32363336-B_ES, 32644205_ES, 32292053_ES, 32269194_ES, 32278585_ES, 32554811_ES, 32588475_ES, 32612465B_ES, 32351657_ES, 32317275_ES, 32292915_ES, 32553608­_A_ES, 32208010_ES, 32417987_ES, 32631838_ES, 32352486_ES, 32617223_ES, 32587121_ES, 32415334_ES, 32318729_ES, 32427774_ES, 32623310_ES, 32276139_ES, 32282871_B_ES, 32607304_Es, 32423911_ES, 32207255_ES, 32283294_ES, 32650881_ES, 32425356_ES, 32414534_ES, 32637086A_ES, 32612465C_ES, 32232784_ES, 32585767_ES, 32648092C_ES, 32637437­_ES, 32637086B_ES, 32605766_ES, 32352487_ES, 32612465D_ES, 32631770_ES, 32556106_ES, 32631646_ES, 32586958_ES, 32250095_ES, 32360384_ES, 32427774-B_ES, 32611659_ES, 32653960_ES, 3229222_ES, 32590204_ES
tos	SINTOMA	87	43.5	117	tos	263731006, 49727002	C0010200, C0010200	tos	tos	32633439_ES, 32607564_ES, 32222713_ES, 32602610_ES, 32427645_ES, 32583150A_ES, 32401344_ES, 32196627_ES, 32399450_ES, 32589794_ES, 32265235_ES, 32619798_ES, 32593478_ES, 32294258_ES, 32606105_ES, 32618794_ES, 32594151_ES, 32353183-B_ES, 32427161_ES, 32085846_ES, 32032497_ES, 32247016_ES, 32619736_ES, 32651243_ES, 32073161_ES, 32553608­B_ES, 32423738_ES, 32639064_ES, 32554621_ES, 32418288_ES, 32293714_ES, 32638347A_ES, 32399950_ES, 32602267_ES, 32292904_ES, 32267140_ES, 32617903B_ES, 32586752_ES, 32635747_ES, 32615155_ES, 32247642_ES, 32554425_ES, 32282027_ES, 32292054_ES, 32292053_ES, 32269194_ES, 32588475_ES, 32612465B_ES, 32317275_ES, 32292867_ES, 32208010_ES, 32417987_ES, 32631838_ES, 32609542_ES, 32605712_ES, 32359711_ES, 32617223_ES, 32415334_ES, 32168162_ES, 32238024_ES, 32318729_ES, 32276139_ES, 32207255_ES, 32650881_ES, 32246917_ES, 32637086A_ES, 32414534_ES, 32425356_ES, 32612465C_ES, 32232784_ES, 32585767_ES, 32637086B_ES, 32605766_ES, 32631770_ES, 32606044_ES, 32556106_ES, 32179908_ES, 32586958_ES, 32250095_ES, 32205138_ES, 32637266B_ES, 32427774-B_ES, 32426200_ES, 32611659_ES, 32360439-C_ES, 32590204_ES, 32161941_ES
tos seca	SINTOMA	35	17.5	36	tos seco	11833005	C0850149	tos seca	tos seca	32617169_ES, 32201125_ES, 32623310_ES, 32359804_ES, 32638347C_ES, 32353183_ES, 32607304_Es, 32423911_ES, 32085846_ES, 32611761B_ES, 32267483_ES, 32246917_ES, 32622483_ES, 32428291_ES, 32245909_ES, 32648092C_ES, 32637437­_ES, 32267461_ES, 32282871_ES, 32294340_ES, 32606044_ES, 32402687_ES, 32641443_ES, 32631646_ES, 32179908_ES, 32360439-D_ES, 32294264_ES, 32412848_ES, 32637327A_ES, 32399449-B_ES, 32615807A_ES, 32587121_ES, 32428291-B_ES, 32399694­­_ES, 32402687-B_ES
diarrea	SINTOMA	29	14.5	33	diarrea	62315008	C0011991	diarrea	diarrea	32594151_ES, 32292053_ES, 32633439_ES, 32238024_ES, 32222713_ES, 32246917_ES, 32414534_ES, 32351657_ES, 32363351_ES, 32639064_ES, 32585767_ES, 32245909_ES, 32364123_ES, 32637437­_ES, 32292915_ES, 32292904_ES, 32179908_ES, 32640066_ES, 32294264_ES, 32586958_ES, 32267140_ES, 32586752_ES, 32617223_ES, 32584431_ES, 32587121_ES, 32428291-B_ES, 32282027_ES, 32292054_ES, 32161941_ES
vomitos	SINTOMA	25	12.5	29	vómito			vómitos	vómitos	32594151_ES, 32363336_ES, 32292053_ES, 32353183-B_ES, 32165205_ES, 32427161_ES, 32222713_ES, 32653210_ES, 32423738_ES, 32198834_ES, 32639064_ES, 32424482_ES, 32612465D_ES, 32360439_ES, 32292867_ES, 32208010_ES, 32612465A_ES, 32294340_ES, 32640066_ES, 32639461_ES, 32586752_ES, 32587121_ES, 32426200_ES, 32292054_ES, 32161941_ES
taquipnea	SINTOMA	20	10.0	23	taquipnea	271823003, 43186005	C0231835, C0231835	taquipnea	taquipnea	32363336_ES, 32320556_ES, 32201125_ES, 32353183_ES, 32622483_ES, 32215898_ES, 32637437­_ES, 32620682_ES, 32265235_ES, 32605766_ES, 32631838_ES, 32648092B_ES, 32640066_ES, 32586958_ES, 32412848_ES, 32617223_ES, 32427774-B_ES, 32426200_ES, 32554425_ES, 32606105_ES
mialgia	SINTOMA	19	9.5	21	mialgia	68962001	C0231528	mialgia	mialgia	32318729_ES, 32623310_ES, 32611761B_ES, 32283294_ES, 32267483_ES, 32563170_ES, 32588475_ES, 32196627_ES, 32414534_ES, 32232784_ES, 32553608­_A_ES, 32402687_ES, 32292904_ES, 32601756_ES, 32637327A_ES, 32205138_ES, 32635747_ES, 32587121_ES, 32426200_ES
escalofrios	SINTOMA	18	9.0	20	escalofrío			escalofríos	escalofríos	32593478_ES, 32360439_ES, 32208010_ES, 32238024_ES, 32267461_ES, 32085846_ES, 32650881_ES, 32554425_ES, 32622823_ES, 32427774_ES, 32425356_ES, 32215898_ES, 32617223_ES, 32294273_ES, 32615807A_ES, 32399451_ES, 32266524_ES, 32607304_Es
nauseas	SINTOMA	16	8.0	18	náusea			náuseas	náuseas	32586958_ES, 32360439_ES, 32292053_ES, 32208010_ES, 32165205_ES, 32427161_ES, 32073161_ES, 32584431_ES, 32587121_ES, 32639064_ES, 32292904_ES, 32607304_Es, 32637437­_ES, 32631646_ES, 32222713_ES, 32161941_ES
